case_id,customer_id,customer_name,invoice_id,case_open_date,amount_due,days_overdue,priority,status,assigned_to,collector_id,collection_strategy,last_action_date,next_action_date,resolution_date,notes
CASE000014,CUST000011,Godrej Tech Limited,INV0000106,2025-03-04,424508.08,53,Medium,Open,Anil Mishra,REP000025,Standard Follow-up,2025-03-25,2025-05-07,,
CASE000015,CUST000013,ICICI Tech Limited,INV0000121,2025-04-11,113140.63,17,Medium,Open,Rakesh Gupta,REP000008,Standard Follow-up,2025-04-11,2025-05-02,,
CASE000016,CUST000013,ICICI Tech Limited,INV0000125,2024-12-13,501129.91,134,Critical,Pending Customer,Anil Gupta,REP000005,Legal Action Warning,2025-02-25,2025-04-24,,
CASE000018,CUST000014,SBI Tech Limited,INV0000133,2025-02-10,1427823.54,73,Critical,In Progress,Sanjay Joshi,REP000047,Payment Plan,2025-02-10,2025-05-08,,
CASE000019,CUST000014,SBI Tech Limited,INV0000134,2024-11-17,892116.10,158,Critical,Escalated,Vijay Mishra,REP000023,Legal Action Warning,2025-01-08,2025-05-01,,
CASE000020,CUST000015,TCS Tech Limited,INV0000141,2025-01-31,513201.05,84,High,In Progress,Sunita Mishra,REP000035,Intensive Collection,2025-03-16,2025-04-24,,
CASE000021,CUST000015,TCS Tech Limited,INV0000142,2025-01-29,89743.99,89,High,In Progress,Rajesh Gupta,REP000009,Intensive Collection,2025-03-12,2025-05-04,,
CASE000022,CUST000016,Bajaj Tech Limited,INV0000152,2025-01-21,60973.92,93,Critical,Pending Customer,Rajesh Gupta,REP000009,Legal Action Warning,2025-03-13,2025-04-24,,
CASE000023,CUST000016,Bajaj Tech Limited,INV0000153,2025-01-17,106143.71,100,Critical,In Progress,Anil Mishra,REP000025,Legal Action Warning,2025-03-23,2025-05-09,,
CASE000024,CUST000016,Bajaj Tech Limited,INV0000154,2025-02-17,72149.18,73,High,Open,Pooja Gupta,REP000013,Intensive Collection,2025-03-30,2025-05-08,,
CASE000025,CUST000016,Bajaj Tech Limited,INV0000155,2025-04-15,37561.35,10,Low,Open,Ashok Mishra,REP000030,Standard Follow-up,2025-04-15,2025-05-05,,
CASE000027,CUST000017,HCL Tech Limited,INV0000164,2024-12-18,75148.28,129,Critical,Escalated,Sunil Joshi,REP000044,Settlement Offer,2025-04-13,2025-04-20,,
CASE000028,CUST000018,Hindustan Tech Limited,INV0000176,2025-02-15,57918.59,68,High,In Progress,Priya Mishra,REP000031,Intensive Collection,2025-04-08,2025-05-03,,
CASE000030,CUST000019,Indian Tech Limited,INV0000181,2025-03-13,32457.31,49,Medium,Open,Sanjay Gupta,REP000007,Standard Follow-up,2025-04-08,2025-04-21,,
CASE000031,CUST000019,Indian Tech Limited,INV0000184,2024-11-24,64886.56,152,Critical,Pending Customer,Raj Gupta,REP000001,Legal Action Warning,2025-01-26,2025-05-05,,
CASE000032,CUST000019,Indian Tech Limited,INV0000185,2024-12-29,100943.28,117,Critical,Pending Customer,Vijay Gupta,REP000003,Legal Action Warning,2025-03-27,2025-04-28,,
CASE000033,CUST000021,Tata Info Limited,INV0000206,2024-11-26,98095.36,148,Critical,In Progress,Vijay Gupta,REP000003,Legal Action Warning,2025-01-29,2025-05-06,,
CASE000034,CUST000022,Reliance Info Limited,INV0000213,2025-03-28,85114.76,26,Low,In Progress,Rahul Joshi,REP000046,Standard Follow-up,2025-04-09,2025-04-29,,
CASE000035,CUST000023,Infosys Info Limited,INV0000221,2024-12-28,66045.18,117,Critical,Pending Customer,Anil Joshi,REP000045,Legal Action Warning,2025-01-13,2025-04-24,,
CASE000036,CUST000023,Infosys Info Limited,INV0000222,2025-03-14,36458.20,47,Medium,Open,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-11,2025-05-07,,
CASE000037,CUST000023,Infosys Info Limited,INV0000227,2025-04-17,64040.25,8,Low,Open,Rahul Joshi,REP000046,Standard Follow-up,2025-04-17,2025-04-27,,
CASE000038,CUST000024,Bharti Info Limited,INV0000231,2025-02-02,395153.51,87,High,In Progress,Anil Gupta,REP000005,Payment Plan,2025-03-08,2025-05-09,,
CASE000039,CUST000025,HDFC Info Limited,INV0000246,2024-12-06,72891.66,138,Critical,In Progress,Rani Gupta,REP000014,Legal Action Warning,2025-03-16,2025-04-19,,
CASE000041,CUST000029,Adani Info Limited,INV0000288,2024-11-26,21569.86,149,Critical,Pending Customer,Neha Mishra,REP000032,Legal Action Warning,2025-01-20,2025-04-28,,
CASE000042,CUST000030,JSW Info Limited,INV0000295,2024-12-25,90024.95,124,Critical,Pending Customer,Sanjay Joshi,REP000047,Settlement Offer,2025-03-03,2025-04-30,,
CASE000043,CUST000031,Godrej Info Limited,INV0000301,2025-04-06,136717.35,19,Medium,Open,Pooja Mishra,REP000033,Standard Follow-up,2025-04-06,2025-04-30,,
CASE000044,CUST000032,L&T Info Limited,INV0000311,2024-12-20,315479.54,133,Critical,Pending Customer,Rajesh Gupta,REP000009,Legal Action Warning,2025-01-24,2025-05-01,,
CASE000045,CUST000032,L&T Info Limited,INV0000313,2025-02-19,127331.67,63,High,In Progress,Rajesh Gupta,REP000009,Intensive Collection,2025-04-02,2025-04-19,,
CASE000046,CUST000032,L&T Info Limited,INV0000315,2024-12-15,243545.64,138,Critical,In Progress,Ashok Mishra,REP000030,Legal Action Warning,2025-03-02,2025-04-19,,
CASE000047,CUST000034,SBI Info Limited,INV0000331,2024-11-26,71524.05,149,Critical,Escalated,Sunita Gupta,REP000015,Legal Action Warning,2025-03-30,2025-04-27,,
CASE000048,CUST000035,TCS Info Limited,INV0000342,2025-01-11,549676.16,107,Critical,Escalated,Anil Joshi,REP000045,Settlement Offer,2025-01-12,2025-04-30,,
CASE000049,CUST000036,Bajaj Info Limited,INV0000351,2025-04-09,342129.19,16,Medium,In Progress,Rani Gupta,REP000014,Standard Follow-up,2025-04-13,2025-04-29,,
CASE000050,CUST000036,Bajaj Info Limited,INV0000354,2025-04-11,1605018.79,19,Critical,In Progress,Amit Mishra,REP000022,Standard Follow-up,2025-04-11,2025-04-25,,
CASE000051,CUST000036,Bajaj Info Limited,INV0000356,2025-04-08,573968.13,16,High,In Progress,Rani Gupta,REP000014,Standard Follow-up,2025-04-08,2025-05-07,,
CASE000052,CUST000037,HCL Info Limited,INV0000361,2025-02-22,247417.83,68,High,In Progress,Anil Mishra,REP000025,Intensive Collection,2025-04-09,2025-05-09,,
CASE000053,CUST000037,HCL Info Limited,INV0000368,2024-11-22,352311.14,158,Critical,Pending Customer,Rahul Gupta,REP000006,Legal Action Warning,2025-02-07,2025-05-05,,
CASE000054,CUST000038,Hindustan Info Limited,INV0000372,2025-04-17,1304288.87,7,Critical,Open,Sunita Mishra,REP000035,Standard Follow-up,2025-04-17,2025-04-21,,
CASE000055,CUST000038,Hindustan Info Limited,INV0000374,2025-03-04,743535.18,53,High,Open,Neha Mishra,REP000032,Standard Follow-up,2025-03-12,2025-04-28,,
CASE000056,CUST000040,Tech Info Limited,INV0000394,2025-01-07,1160302.57,112,Critical,In Progress,Meena Mishra,REP000037,Legal Action Warning,2025-02-02,2025-04-19,,
CASE000057,CUST000041,Tata Auto Limited,INV0000405,2025-02-10,87090.74,79,High,In Progress,Sanjay Mishra,REP000027,Intensive Collection,2025-03-10,2025-04-29,,
CASE000058,CUST000044,Bharti Auto Limited,INV0000432,2024-12-25,2373429.99,121,Critical,Escalated,Amit Mishra,REP000022,Legal Action Warning,2024-12-31,2025-05-03,,
CASE000059,CUST000044,Bharti Auto Limited,INV0000435,2025-02-22,2867312.70,64,Critical,Open,Kavita Gupta,REP000018,Intensive Collection,2025-03-13,2025-04-24,,
CASE000060,CUST000045,HDFC Auto Limited,INV0000442,2025-03-23,182842.58,34,Medium,In Progress,Rahul Joshi,REP000046,Standard Follow-up,2025-04-14,2025-04-27,,
CASE000061,CUST000045,HDFC Auto Limited,INV0000444,2025-01-30,263477.54,90,High,In Progress,Rahul Joshi,REP000046,Intensive Collection,2025-04-11,2025-04-27,,
CASE000062,CUST000046,Wipro Auto Limited,INV0000454,2024-12-18,1170701.25,130,Critical,In Progress,Neha Gupta,REP000012,Settlement Offer,2025-01-07,2025-04-28,,
CASE000063,CUST000046,Wipro Auto Limited,INV0000456,2025-02-20,2030790.84,64,Critical,In Progress,Amit Gupta,REP000002,Payment Plan,2025-04-09,2025-04-22,,
CASE000064,CUST000048,Birla Auto Limited,INV0000471,2025-03-16,403431.04,43,Medium,Open,Neha Gupta,REP000012,Standard Follow-up,2025-04-12,2025-04-22,,
CASE000065,CUST000048,Birla Auto Limited,INV0000472,2025-02-17,327329.88,72,High,Open,Shalini Mishra,REP000039,Payment Plan,2025-03-19,2025-04-20,,
CASE000066,CUST000049,Adani Auto Limited,INV0000482,2025-02-10,94802.32,79,High,In Progress,Shalini Mishra,REP000039,Payment Plan,2025-02-18,2025-04-23,,
CASE000067,CUST000052,L&T Auto Limited,INV0000511,2025-03-26,23973.16,35,Medium,Open,Raj Mishra,REP000021,Standard Follow-up,2025-03-26,2025-04-21,,
CASE000068,CUST000052,L&T Auto Limited,INV0000513,2025-01-06,42180.45,114,Critical,Escalated,Sanjay Joshi,REP000047,Legal Action Warning,2025-03-03,2025-04-28,,
CASE000069,CUST000052,L&T Auto Limited,INV0000514,2025-04-14,72701.38,11,Low,Open,Priya Mishra,REP000031,Standard Follow-up,2025-04-15,2025-04-24,,
CASE000070,CUST000052,L&T Auto Limited,INV0000515,2025-03-25,11601.58,31,Medium,Open,Sanjay Gupta,REP000007,Standard Follow-up,2025-04-16,2025-05-09,,
CASE000071,CUST000052,L&T Auto Limited,INV0000516,2025-02-05,110959.24,84,High,Pending Customer,Neha Mishra,REP000032,Payment Plan,2025-04-13,2025-04-26,,
CASE000072,CUST000053,ICICI Auto Limited,INV0000523,2024-12-20,465102.67,133,Critical,Escalated,Vijay Gupta,REP000003,Legal Action Warning,2025-02-20,2025-05-07,,
CASE000073,CUST000053,ICICI Auto Limited,INV0000525,2025-01-04,396309.40,109,Critical,Pending Customer,Sunil Joshi,REP000044,Settlement Offer,2025-03-29,2025-04-21,,
CASE000074,CUST000053,ICICI Auto Limited,INV0000527,2025-03-01,77713.24,60,Medium,Open,Kavita Mishra,REP000038,Standard Follow-up,2025-04-03,2025-04-29,,
CASE000075,CUST000054,SBI Auto Limited,INV0000535,2025-02-18,73439.87,65,High,In Progress,Rakesh Joshi,REP000048,Payment Plan,2025-04-14,2025-05-03,,
CASE000076,CUST000057,HCL Auto Limited,INV0000561,2025-03-13,44767.76,46,Medium,Open,Shalini Gupta,REP000019,Standard Follow-up,2025-04-17,2025-05-02,,
CASE000077,CUST000057,HCL Auto Limited,INV0000562,2025-03-15,22456.86,41,Medium,Open,Vijay Mishra,REP000023,Standard Follow-up,2025-04-15,2025-04-21,,
CASE000078,CUST000057,HCL Auto Limited,INV0000563,2024-12-27,101826.00,124,Critical,Escalated,Shalini Mishra,REP000039,Legal Action Warning,2025-02-22,2025-04-20,,
CASE000079,CUST000060,Tech Auto Limited,INV0000591,2025-01-14,47512.50,99,Critical,Pending Customer,Shalini Gupta,REP000019,Legal Action Warning,2025-04-13,2025-05-09,,
CASE000080,CUST000060,Tech Auto Limited,INV0000593,2024-11-29,107652.38,150,Critical,Escalated,Vijay Joshi,REP000043,Settlement Offer,2025-03-02,2025-04-27,,
CASE000081,CUST000060,Tech Auto Limited,INV0000595,2025-04-04,80680.66,24,Low,Open,Rakesh Mishra,REP000028,Standard Follow-up,2025-04-14,2025-05-03,,
CASE000082,CUST000061,Tata Fin Limited,INV0000605,2025-01-01,531642.34,121,Critical,Escalated,Kavita Mishra,REP000038,Legal Action Warning,2025-01-14,2025-05-04,,
CASE000083,CUST000061,Tata Fin Limited,INV0000606,2025-01-09,211516.97,105,Critical,In Progress,Priya Gupta,REP000011,Legal Action Warning,2025-01-22,2025-05-06,,
CASE000084,CUST000063,Infosys Fin Limited,INV0000624,2024-11-11,560130.24,164,Critical,Pending Customer,Anil Joshi,REP000045,Settlement Offer,2024-12-20,2025-05-04,,
CASE000085,CUST000063,Infosys Fin Limited,INV0000625,2025-04-04,384491.42,28,Medium,In Progress,Raj Mishra,REP000021,Standard Follow-up,2025-04-08,2025-05-01,,
CASE000086,CUST000064,Bharti Fin Limited,INV0000632,2025-03-05,92400.18,53,Medium,Open,Amit Joshi,REP000042,Standard Follow-up,2025-03-22,2025-05-06,,
CASE000087,CUST000064,Bharti Fin Limited,INV0000634,2025-03-29,90768.59,33,Medium,Open,Kavita Gupta,REP000018,Standard Follow-up,2025-04-09,2025-04-27,,
CASE000088,CUST000064,Bharti Fin Limited,INV0000635,2025-04-06,92890.24,22,Low,Open,Sunil Gupta,REP000004,Standard Follow-up,2025-04-14,2025-04-20,,
CASE000089,CUST000064,Bharti Fin Limited,INV0000636,2025-03-02,95946.23,61,High,Open,Amit Mishra,REP000022,Payment Plan,2025-04-01,2025-04-21,,
CASE000090,CUST000065,HDFC Fin Limited,INV0000641,2025-01-04,137812.89,112,Critical,Pending Customer,Priya Mishra,REP000031,Legal Action Warning,2025-03-06,2025-04-19,,
CASE000091,CUST000067,Mahindra Fin Limited,INV0000667,2024-11-25,2197049.90,149,Critical,Pending Customer,Rahul Gupta,REP000006,Legal Action Warning,2025-04-09,2025-04-21,,
CASE000092,CUST000068,Birla Fin Limited,INV0000671,2025-01-08,471989.78,113,Critical,Escalated,Rakesh Joshi,REP000048,Settlement Offer,2025-03-27,2025-05-05,,
CASE000093,CUST000068,Birla Fin Limited,INV0000673,2025-01-26,209975.49,93,Critical,In Progress,Rajesh Joshi,REP000049,Legal Action Warning,2025-02-19,2025-04-30,,
CASE000095,CUST000071,Godrej Fin Limited,INV0000704,2024-12-27,85244.76,124,Critical,Pending Customer,Amit Gupta,REP000002,Legal Action Warning,2025-02-13,2025-04-28,,
CASE000096,CUST000071,Godrej Fin Limited,INV0000705,2025-01-05,73926.98,117,Critical,In Progress,Amit Joshi,REP000042,Settlement Offer,2025-01-17,2025-04-24,,
CASE000097,CUST000071,Godrej Fin Limited,INV0000706,2025-03-31,66696.29,30,Low,Open,Sunita Mishra,REP000035,Standard Follow-up,2025-04-12,2025-05-04,,
CASE000098,CUST000072,L&T Fin Limited,INV0000711,2024-12-12,124266.10,133,Critical,Escalated,Amit Joshi,REP000042,Legal Action Warning,2025-01-16,2025-04-23,,
CASE000099,CUST000072,L&T Fin Limited,INV0000713,2025-04-09,379520.89,19,Medium,Open,Rahul Mishra,REP000026,Standard Follow-up,2025-04-13,2025-05-03,,
CASE000100,CUST000073,ICICI Fin Limited,INV0000722,2025-01-16,3911538.20,99,Critical,In Progress,Ashok Joshi,REP000050,Settlement Offer,2025-03-11,2025-04-22,,
CASE000101,CUST000073,ICICI Fin Limited,INV0000726,2024-11-30,3075686.30,145,Critical,In Progress,Raj Joshi,REP000041,Legal Action Warning,2024-12-09,2025-04-25,,
CASE000102,CUST000074,SBI Fin Limited,INV0000733,2025-01-05,1372463.15,113,Critical,In Progress,Anil Gupta,REP000005,Legal Action Warning,2025-02-04,2025-04-26,,
CASE000103,CUST000075,TCS Fin Limited,INV0000746,2025-03-19,234360.08,43,Medium,Open,Sanjay Gupta,REP000007,Standard Follow-up,2025-04-08,2025-04-25,,
CASE000104,CUST000075,TCS Fin Limited,INV0000747,2025-04-17,1678605.27,12,Critical,Open,Geeta Mishra,REP000040,Standard Follow-up,2025-04-17,2025-05-07,,
CASE000105,CUST000076,Bajaj Fin Limited,INV0000752,2024-12-30,533888.18,114,Critical,Escalated,Rahul Gupta,REP000006,Settlement Offer,2025-03-17,2025-05-08,,
CASE000106,CUST000076,Bajaj Fin Limited,INV0000756,2025-03-10,572180.23,52,High,In Progress,Vijay Mishra,REP000023,Standard Follow-up,2025-04-17,2025-05-04,,
CASE000107,CUST000077,HCL Fin Limited,INV0000761,2024-12-11,196850.98,136,Critical,In Progress,Sunita Mishra,REP000035,Settlement Offer,2025-03-05,2025-04-27,,
CASE000108,CUST000078,Hindustan Fin Limited,INV0000772,2024-12-23,1833290.96,123,Critical,Pending Customer,Anil Mishra,REP000025,Legal Action Warning,2025-03-20,2025-05-03,,
CASE000109,CUST000078,Hindustan Fin Limited,INV0000773,2024-11-17,1482816.89,159,Critical,Pending Customer,Ashok Gupta,REP000010,Settlement Offer,2025-04-01,2025-04-20,,
CASE000110,CUST000078,Hindustan Fin Limited,INV0000774,2025-02-21,951865.86,70,High,Pending Customer,Anil Mishra,REP000025,Payment Plan,2025-03-07,2025-04-26,,
CASE000111,CUST000080,Tech Fin Limited,INV0000794,2025-02-14,756346.43,77,High,In Progress,Neha Gupta,REP000012,Intensive Collection,2025-04-10,2025-04-19,,
CASE000112,CUST000080,Tech Fin Limited,INV0000795,2025-01-21,279241.71,96,Critical,Pending Customer,Rahul Joshi,REP000046,Settlement Offer,2025-03-09,2025-05-02,,
CASE000113,CUST000081,Tata Power Limited,INV0000801,2025-03-31,170901.10,23,Medium,Open,Amit Mishra,REP000022,Standard Follow-up,2025-04-12,2025-04-22,,
CASE000114,CUST000082,Reliance Power Limited,INV0000813,2025-04-10,508886.12,19,High,Open,Anil Mishra,REP000025,Standard Follow-up,2025-04-12,2025-04-19,,
CASE000115,CUST000082,Reliance Power Limited,INV0000814,2024-12-01,224547.28,143,Critical,Escalated,Neha Gupta,REP000012,Legal Action Warning,2025-01-29,2025-05-03,,
CASE000116,CUST000082,Reliance Power Limited,INV0000817,2025-03-14,559309.56,44,High,Open,Ashok Mishra,REP000030,Standard Follow-up,2025-03-17,2025-04-28,,
CASE000117,CUST000083,Infosys Power Limited,INV0000821,2025-03-10,344825.43,45,Medium,In Progress,Sunil Mishra,REP000024,Standard Follow-up,2025-04-07,2025-05-06,,
CASE000118,CUST000083,Infosys Power Limited,INV0000822,2025-02-08,567498.19,81,High,Pending Customer,Vijay Joshi,REP000043,Intensive Collection,2025-03-14,2025-04-26,,
CASE000119,CUST000083,Infosys Power Limited,INV0000824,2025-02-03,258689.21,81,High,Open,Amit Gupta,REP000002,Intensive Collection,2025-04-06,2025-04-25,,
CASE000120,CUST000084,Bharti Power Limited,INV0000834,2025-04-13,235688.33,12,Medium,In Progress,Shalini Mishra,REP000039,Standard Follow-up,2025-04-16,2025-05-05,,
CASE000121,CUST000084,Bharti Power Limited,INV0000835,2025-03-26,520594.69,32,High,Open,Amit Joshi,REP000042,Standard Follow-up,2025-03-28,2025-05-03,,
CASE000122,CUST000085,HDFC Power Limited,INV0000843,2025-03-10,48879.00,52,Medium,In Progress,Ashok Gupta,REP000010,Standard Follow-up,2025-04-16,2025-05-04,,
CASE000123,CUST000085,HDFC Power Limited,INV0000845,2025-03-25,43338.90,38,Medium,In Progress,Anita Gupta,REP000016,Standard Follow-up,2025-04-07,2025-04-22,,
CASE000124,CUST000086,Wipro Power Limited,INV0000851,2024-12-23,433386.37,123,Critical,In Progress,Geeta Mishra,REP000040,Legal Action Warning,2025-01-29,2025-04-28,,
CASE000125,CUST000088,Birla Power Limited,INV0000872,2025-02-26,1884984.57,56,Critical,Open,Sunil Joshi,REP000044,Standard Follow-up,2025-04-16,2025-05-05,,
CASE000126,CUST000089,Adani Power Limited,INV0000881,2025-03-31,281639.54,23,Medium,In Progress,Anita Mishra,REP000036,Standard Follow-up,2025-04-05,2025-04-23,,
CASE000127,CUST000094,SBI Power Limited,INV0000932,2024-12-15,74335.34,136,Critical,Escalated,Amit Mishra,REP000022,Legal Action Warning,2025-01-21,2025-05-06,,
CASE000128,CUST000095,TCS Power Limited,INV0000941,2025-02-08,398839.16,79,High,Pending Customer,Rajesh Mishra,REP000029,Payment Plan,2025-03-03,2025-04-30,,
CASE000129,CUST000095,TCS Power Limited,INV0000945,2025-04-10,186695.65,15,Medium,In Progress,Sanjay Joshi,REP000047,Standard Follow-up,2025-04-13,2025-04-21,,
CASE000130,CUST000096,Bajaj Power Limited,INV0000952,2025-03-06,56991.87,49,Medium,In Progress,Ashok Mishra,REP000030,Standard Follow-up,2025-04-11,2025-04-26,,
CASE000131,CUST000096,Bajaj Power Limited,INV0000955,2025-02-19,47702.28,68,High,In Progress,Rakesh Joshi,REP000048,Payment Plan,2025-02-24,2025-04-23,,
CASE000133,CUST000098,Hindustan Power Limited,INV0000971,2025-03-06,242195.52,50,Medium,Open,Geeta Gupta,REP000020,Standard Follow-up,2025-04-01,2025-05-08,,
CASE000134,CUST000098,Hindustan Power Limited,INV0000972,2025-02-14,370985.30,74,High,Pending Customer,Anil Mishra,REP000025,Intensive Collection,2025-02-26,2025-04-22,,
CASE000135,CUST000098,Hindustan Power Limited,INV0000973,2025-03-11,250876.78,49,Medium,Open,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-15,2025-05-04,,
CASE000136,CUST000099,Indian Power Limited,INV0000981,2025-01-17,39332.26,100,Critical,Pending Customer,Pooja Mishra,REP000033,Settlement Offer,2025-02-06,2025-04-25,,
CASE000137,CUST000099,Indian Power Limited,INV0000982,2025-03-17,90222.96,37,Medium,Open,Raj Mishra,REP000021,Standard Follow-up,2025-04-11,2025-04-28,,
CASE000138,CUST000099,Indian Power Limited,INV0000983,2025-04-11,97786.15,20,Low,Open,Shalini Mishra,REP000039,Standard Follow-up,2025-04-14,2025-04-27,,
CASE000139,CUST000100,Tech Power Limited,INV0000993,2025-04-14,2067143.28,10,Critical,Open,Ashok Gupta,REP000010,Standard Follow-up,2025-04-16,2025-05-02,,
CASE000140,CUST000100,Tech Power Limited,INV0000995,2025-01-18,1166349.50,104,Critical,In Progress,Vijay Joshi,REP000043,Legal Action Warning,2025-02-05,2025-05-09,,
CASE000141,CUST000101,Tata Steel Limited,INV0001001,2024-12-12,222674.58,135,Critical,In Progress,Anil Mishra,REP000025,Legal Action Warning,2025-02-03,2025-04-26,,
CASE000142,CUST000102,Reliance Steel Limited,INV0001013,2025-02-02,151985.91,81,High,In Progress,Amit Mishra,REP000022,Intensive Collection,2025-03-13,2025-04-24,,
CASE000143,CUST000103,Infosys Steel Limited,INV0001025,2025-03-06,187971.52,49,Medium,In Progress,Rani Mishra,REP000034,Standard Follow-up,2025-03-17,2025-04-21,,
CASE000144,CUST000105,HDFC Steel Limited,INV0001041,2025-01-17,386599.22,103,Critical,Pending Customer,Anil Mishra,REP000025,Legal Action Warning,2025-03-23,2025-04-24,,
CASE000145,CUST000105,HDFC Steel Limited,INV0001043,2025-02-27,481329.51,62,High,Pending Customer,Ashok Gupta,REP000010,Intensive Collection,2025-03-11,2025-04-23,,
CASE000146,CUST000106,Wipro Steel Limited,INV0001052,2025-03-25,351033.02,29,Medium,Open,Shalini Gupta,REP000019,Standard Follow-up,2025-03-25,2025-04-23,,
CASE000147,CUST000109,Adani Steel Limited,INV0001084,2025-04-16,90674.47,13,Low,Open,Rajesh Joshi,REP000049,Standard Follow-up,2025-04-17,2025-04-22,,
CASE000148,CUST000110,JSW Steel Limited,INV0001093,2025-03-26,82739.52,33,Medium,Open,Anil Joshi,REP000045,Standard Follow-up,2025-04-08,2025-04-28,,
CASE000149,CUST000110,JSW Steel Limited,INV0001094,2025-01-07,106557.47,109,Critical,Escalated,Amit Mishra,REP000022,Legal Action Warning,2025-02-25,2025-05-08,,
CASE000150,CUST000111,Godrej Steel Limited,INV0001101,2024-12-31,272654.59,115,Critical,Escalated,Anita Gupta,REP000016,Legal Action Warning,2025-01-08,2025-04-24,,
CASE000151,CUST000114,SBI Steel Limited,INV0001131,2025-01-29,82397.75,86,High,Open,Rakesh Gupta,REP000008,Intensive Collection,2025-03-30,2025-05-08,,
CASE000152,CUST000114,SBI Steel Limited,INV0001132,2025-03-16,109117.36,40,Medium,Open,Rajesh Joshi,REP000049,Standard Follow-up,2025-03-22,2025-05-05,,
CASE000153,CUST000115,TCS Steel Limited,INV0001143,2025-03-27,198732.12,34,Medium,In Progress,Rajesh Joshi,REP000049,Standard Follow-up,2025-04-08,2025-05-04,,
CASE000154,CUST000115,TCS Steel Limited,INV0001147,2025-02-21,186875.15,65,High,Pending Customer,Ashok Gupta,REP000010,Intensive Collection,2025-04-13,2025-05-08,,
CASE000155,CUST000116,Bajaj Steel Limited,INV0001154,2025-01-01,115262.83,115,Critical,Escalated,Amit Gupta,REP000002,Legal Action Warning,2025-02-11,2025-05-05,,
CASE000156,CUST000117,HCL Steel Limited,INV0001162,2025-03-04,17442.21,52,Medium,Open,Priya Gupta,REP000011,Standard Follow-up,2025-04-08,2025-05-04,,
CASE000157,CUST000119,Indian Steel Limited,INV0001184,2025-01-01,531356.25,117,Critical,In Progress,Anil Gupta,REP000005,Legal Action Warning,2025-01-28,2025-04-26,,
CASE000158,CUST000120,Tech Steel Limited,INV0001193,2025-02-23,48948.76,68,High,In Progress,Pooja Mishra,REP000033,Payment Plan,2025-02-27,2025-05-08,,
CASE000159,CUST000122,Reliance Textiles Limited,INV0001212,2025-03-30,96033.60,29,Low,Open,Ashok Mishra,REP000030,Standard Follow-up,2025-04-04,2025-04-25,,
CASE000160,CUST000123,Infosys Textiles Limited,INV0001221,2025-03-21,621137.13,41,High,Open,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-13,2025-04-19,,
CASE000161,CUST000123,Infosys Textiles Limited,INV0001222,2025-01-31,2387691.01,85,Critical,Open,Geeta Gupta,REP000020,Payment Plan,2025-03-29,2025-05-09,,
CASE000162,CUST000124,Bharti Textiles Limited,INV0001232,2025-03-22,76630.23,41,Medium,Open,Amit Mishra,REP000022,Standard Follow-up,2025-04-01,2025-05-03,,
