customer_id,customer_name,risk_score,risk_category,credit_limit,outstanding_amount,credit_utilization,overdue_rate,avg_days_late,total_invoices,overdue_invoices,has_disputes,has_collection_history,recommended_action,last_assessment_date
CUST000068,Birla Fin Limited,45,Low Risk,1066190,681965.27,63.96%,50.00%,0.0,4,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000069,Adani Fin Limited,51,Medium Risk,638869,103013.92,16.12%,12.50%,42.6,8,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000070,JSW Fin Limited,24,Minimal Risk,97307472,2215673.64,2.28%,0.00%,7.8,5,0,No,No,Standard Terms / Potential Credit Increase,2025-04-15
CUST000071,Godrej Fin Limited,76,High Risk,269529,299020.82,110.94%,42.86%,33.0,7,3,Yes,No,Credit Hold / Advance Payment,2025-04-15
CUST000072,L&T Fin Limited,49,Low Risk,7419364,719700.45,9.70%,66.67%,0.0,3,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000073,ICICI Fin Limited,58,Medium Risk,51008402,12942568.13,25.37%,33.33%,36.5,6,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000074,SBI Fin Limited,49,Low Risk,19445267,1372463.15,7.06%,12.50%,28.7,8,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000075,TCS Fin Limited,52,Medium Risk,31860647,1912965.35,6.00%,25.00%,29.8,8,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000076,Bajaj Fin Limited,48,Low Risk,6497751,1661683.21,25.57%,33.33%,37.7,6,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000077,HCL Fin Limited,39,Low Risk,2173639,1141321.27,52.51%,20.00%,7.0,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000078,Hindustan Fin Limited,48,Low Risk,159875864,4267973.71,2.67%,50.00%,49.0,6,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000079,Indian Fin Limited,36,Low Risk,4279666,318365.89,7.44%,0.00%,32.5,4,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000080,Tech Fin Limited,33,Low Risk,25292863,3213661.17,12.71%,28.57%,5.7,7,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000081,Tata Power Limited,44,Low Risk,5792161,170901.10,2.95%,33.33%,53.5,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000082,Reliance Power Limited,58,Medium Risk,3734406,2070590.58,55.45%,37.50%,15.0,8,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000083,Infosys Power Limited,44,Low Risk,4157784,1171012.83,28.16%,75.00%,0.0,4,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000084,Bharti Power Limited,56,Medium Risk,2797364,756283.02,27.04%,40.00%,20.7,5,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000085,HDFC Power Limited,46,Low Risk,206067,185677.30,90.11%,25.00%,4.0,8,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000086,Wipro Power Limited,47,Low Risk,3013774,1177756.17,39.08%,16.67%,37.0,6,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000087,Mahindra Power Limited,32,Low Risk,917082,84500.14,9.21%,0.00%,0.0,3,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000088,Birla Power Limited,27,Low Risk,174735998,17042653.35,9.75%,14.29%,3.0,7,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000089,Adani Power Limited,50,Medium Risk,9653679,829399.87,8.59%,12.50%,45.0,8,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000090,JSW Power Limited,35,Low Risk,8018014,0.00,0.00%,0.00%,57.3,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000091,Godrej Power Limited,41,Low Risk,6035807,939603.75,15.57%,0.00%,16.3,6,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000092,L&T Power Limited,31,Low Risk,35033005,979499.67,2.80%,0.00%,21.4,6,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000093,ICICI Power Limited,34,Low Risk,3908104,0.00,0.00%,0.00%,27.3,4,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000094,SBI Power Limited,55,Medium Risk,318547,182731.01,57.36%,12.50%,21.4,8,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000095,TCS Power Limited,52,Medium Risk,1467437,1112254.47,75.80%,40.00%,13.0,5,2,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000096,Bajaj Power Limited,52,Medium Risk,185575,117622.93,63.38%,28.57%,24.0,7,2,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000097,HCL Power Limited,50,Medium Risk,7952108,200494.81,2.52%,25.00%,27.0,4,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000098,Hindustan Power Limited,58,Medium Risk,5433364,864057.60,15.90%,100.00%,0.0,3,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000099,Indian Power Limited,55,Medium Risk,911951,227341.37,24.93%,60.00%,38.5,5,3,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000100,Tech Power Limited,41,Low Risk,41745346,4748761.82,11.38%,33.33%,0.0,6,2,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000101,Tata Steel Limited,39,Low Risk,5435327,222674.58,4.10%,33.33%,19.5,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000102,Reliance Steel Limited,55,Medium Risk,2276395,434973.52,19.11%,25.00%,82.0,4,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000103,Infosys Steel Limited,45,Low Risk,4804314,187971.52,3.91%,16.67%,19.8,6,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000104,Bharti Steel Limited,39,Low Risk,42357640,0.00,0.00%,0.00%,18.2,5,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000105,HDFC Steel Limited,52,Medium Risk,2223954,1065247.00,47.90%,50.00%,0.0,4,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000106,Wipro Steel Limited,34,Low Risk,5016713,583812.74,11.64%,25.00%,10.5,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000107,Mahindra Steel Limited,32,Low Risk,19664566,1855520.67,9.44%,0.00%,0.0,4,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000108,Birla Steel Limited,49,Low Risk,432962,88338.10,20.40%,0.00%,39.0,5,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000109,Adani Steel Limited,48,Low Risk,253337,90674.47,35.79%,25.00%,50.7,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000110,JSW Steel Limited,40,Low Risk,867130,329564.13,38.01%,50.00%,0.0,4,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000111,Godrej Steel Limited,32,Low Risk,5694037,1169556.67,20.54%,33.33%,0.0,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000112,L&T Steel Limited,36,Low Risk,715207,51179.67,7.16%,0.00%,45.0,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000113,ICICI Steel Limited,41,Low Risk,302449,54539.51,18.03%,0.00%,15.6,6,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000114,SBI Steel Limited,61,Medium Risk,554505,277812.02,50.10%,40.00%,21.0,5,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000115,TCS Steel Limited,51,Medium Risk,2372356,601554.82,25.36%,28.57%,17.0,7,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000116,Bajaj Steel Limited,41,Low Risk,3518707,115262.83,3.28%,20.00%,36.3,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000117,HCL Steel Limited,35,Low Risk,364964,114598.97,31.40%,33.33%,0.0,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000118,Hindustan Steel Limited,31,Low Risk,906495,0.00,0.00%,0.00%,22.0,4,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000119,Indian Steel Limited,40,Low Risk,1107054,531356.25,48.00%,16.67%,13.0,6,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000120,Tech Steel Limited,53,Medium Risk,105557,48948.76,46.37%,14.29%,19.5,7,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000121,Tata Textiles Limited,31,Low Risk,30140541,0.00,0.00%,0.00%,1.0,3,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000122,Reliance Textiles Limited,70,Medium Risk,107098,169693.01,158.45%,25.00%,28.0,4,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000123,Infosys Textiles Limited,34,Low Risk,145816444,8982524.18,6.16%,33.33%,8.5,6,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000124,Bharti Textiles Limited,38,Low Risk,507080,140134.59,27.64%,50.00%,0.0,4,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000125,HDFC Textiles Limited,44,Low Risk,38612984,3948710.55,10.23%,28.57%,29.3,7,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000126,Wipro Textiles Limited,36,Low Risk,81435396,3400847.79,4.18%,0.00%,81.3,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000127,Mahindra Textiles Limited,39,Low Risk,8490550,399370.25,4.70%,33.33%,19.3,6,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000128,Birla Textiles Limited,30,Low Risk,5836278,1079504.83,18.50%,25.00%,0.0,8,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000129,Adani Textiles Limited,45,Low Risk,1910777,341338.49,17.86%,25.00%,68.7,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000130,JSW Textiles Limited,35,Low Risk,749617,68399.61,9.12%,25.00%,13.8,8,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000131,Godrej Textiles Limited,61,Medium Risk,222598,135501.82,60.87%,16.67%,55.3,6,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000132,L&T Textiles Limited,48,Low Risk,170481,184732.52,108.36%,33.33%,0.0,6,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000133,ICICI Textiles Limited,32,Low Risk,31727904,2562279.82,8.08%,0.00%,1.0,7,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000134,SBI Textiles Limited,67,Medium Risk,19828048,4815574.76,24.29%,66.67%,40.5,6,4,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000135,TCS Textiles Limited,35,Low Risk,454586,79636.39,17.52%,25.00%,11.0,4,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000136,Bajaj Textiles Limited,42,Low Risk,6629396,686474.58,10.36%,40.00%,19.3,5,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000137,HCL Textiles Limited,58,Medium Risk,417289,135436.39,32.46%,28.57%,28.0,7,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000138,Hindustan Textiles Limited,54,Medium Risk,441157,134959.00,30.59%,50.00%,97.0,4,2,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000139,Indian Textiles Limited,50,Medium Risk,5072931,514993.29,10.15%,25.00%,23.5,8,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000140,Tech Textiles Limited,37,Low Risk,206419,15920.99,7.71%,0.00%,11.5,3,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000141,Tata Pharma Limited,27,Low Risk,35234113,0.00,0.00%,0.00%,14.0,3,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000142,Reliance Pharma Limited,50,Medium Risk,791363,255305.32,32.26%,33.33%,72.3,6,2,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000143,Infosys Pharma Limited,46,Low Risk,4300965,1238767.23,28.80%,28.57%,26.0,7,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000144,Bharti Pharma Limited,32,Low Risk,765052,171193.01,22.38%,14.29%,7.5,7,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000145,HDFC Pharma Limited,31,Low Risk,9038815,801570.11,8.87%,0.00%,19.0,5,0,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000146,Wipro Pharma Limited,69,Medium Risk,295245,530086.87,179.54%,75.00%,0.0,8,6,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000147,Mahindra Pharma Limited,38,Low Risk,22589647,0.00,0.00%,0.00%,15.8,5,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000148,Birla Pharma Limited,51,Medium Risk,800122,198890.69,24.86%,42.86%,31.8,7,3,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000149,Adani Pharma Limited,22,Minimal Risk,39420694,882443.12,2.24%,0.00%,3.0,4,0,No,No,Standard Terms / Potential Credit Increase,2025-04-15
CUST000150,JSW Pharma Limited,49,Low Risk,734613,187198.92,25.48%,14.29%,20.3,7,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000151,Godrej Pharma Limited,58,Medium Risk,9555368,1267047.51,13.26%,42.86%,54.0,7,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000152,L&T Pharma Limited,41,Low Risk,9211340,229245.03,2.49%,14.29%,14.5,7,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000153,ICICI Pharma Limited,58,Medium Risk,958511,229279.70,23.92%,33.33%,42.0,6,2,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000154,SBI Pharma Limited,45,Low Risk,25562141,5823894.99,22.78%,28.57%,27.3,7,2,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000155,TCS Pharma Limited,48,Low Risk,6169071,350624.06,5.68%,16.67%,25.8,6,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000156,Bajaj Pharma Limited,44,Low Risk,9391636,395537.25,4.21%,25.00%,13.5,4,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000157,HCL Pharma Limited,63,Medium Risk,965130,158051.80,16.38%,60.00%,85.0,5,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000158,Hindustan Pharma Limited,59,Medium Risk,2506478,1078198.74,43.02%,20.00%,37.0,5,1,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000159,Indian Pharma Limited,39,Low Risk,8171403,164465.05,2.01%,33.33%,0.0,3,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000160,Tech Pharma Limited,52,Medium Risk,8312715,1349062.77,16.23%,42.86%,16.0,7,3,Yes,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000161,Tata Healthcare Limited,42,Low Risk,10401426,1465875.56,14.09%,20.00%,28.3,5,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000162,Reliance Healthcare Limited,41,Low Risk,745045,49483.81,6.64%,0.00%,19.0,4,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000163,Infosys Healthcare Limited,45,Low Risk,244468,106448.13,43.54%,0.00%,12.5,7,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000164,Bharti Healthcare Limited,40,Low Risk,165792,43513.36,26.25%,0.00%,10.2,6,0,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000165,HDFC Healthcare Limited,53,Medium Risk,2006529,2412861.77,120.25%,50.00%,0.0,8,4,No,No,Reduce Credit Limit / Weekly Monitoring,2025-04-15
CUST000166,Wipro Healthcare Limited,35,Low Risk,47789398,2694206.73,5.64%,12.50%,20.7,8,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000167,Mahindra Healthcare Limited,37,Low Risk,743645,271078.79,36.45%,37.50%,1.0,8,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000168,Birla Healthcare Limited,49,Low Risk,18247308,1018242.87,5.58%,12.50%,44.7,8,1,Yes,No,Monthly Review / Standard Terms,2025-04-15
CUST000169,Adani Healthcare Limited,26,Low Risk,4406294,545081.27,12.37%,12.50%,1.2,8,1,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000170,JSW Healthcare Limited,42,Low Risk,9661111,942142.19,9.75%,50.00%,15.0,8,4,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000171,Godrej Healthcare Limited,44,Low Risk,3432237,1519372.65,44.27%,60.00%,0.0,5,3,No,No,Monthly Review / Standard Terms,2025-04-15
CUST000172,L&T Healthcare Limited,35,Low Risk,12324262,1280983.00,10.39%,33.33%,9.5,3,1,No,No,Monthly Review / Standard Terms,2025-04-15
