gl_entry_id,posting_date,document_type,document_number,account_code,account_description,debit,credit,currency,reference,customer_id
GL00000004-3,2025-02-16,Invoice,INV0000004,220000,Sales Tax Payable,0.00,47403.35,INR,PO-366282,CUST000001
GL00010004-1,2025-03-20,Payment,PAY0000004,110000,Bank Account,310755.27,0.00,INR,Payment for INV0000004,CUST000001
GL00010004-2,2025-03-20,Payment,PAY0000004,120000,Accounts Receivable,0.00,310755.27,INR,Payment for INV0000004,CUST000001
GL00000005-1,2025-04-09,Invoice,INV0000005,120000,Accounts Receivable,711526.59,0.00,INR,PO-247337,CUST000001
GL00000005-2,2025-04-09,Invoice,INV0000005,400000,Sales Revenue,0.00,555880.15,INR,PO-247337,CUST000001
GL00000005-3,2025-04-09,Invoice,INV0000005,220000,Sales Tax Payable,0.00,155646.44,INR,PO-247337,CUST000001
GL00000006-1,2025-02-08,Invoice,INV0000006,120000,Accounts Receivable,1028323.87,0.00,INR,PO-313626,CUST000001
GL00000006-2,2025-02-08,Invoice,INV0000006,400000,Sales Revenue,0.00,871460.91,INR,PO-313626,CUST000001
GL00000006-3,2025-02-08,Invoice,INV0000006,220000,Sales Tax Payable,0.00,156862.96,INR,PO-313626,CUST000001
GL00000007-1,2025-03-28,Invoice,INV0000007,120000,Accounts Receivable,2141164.92,0.00,INR,PO-907687,CUST000001
GL00000007-2,2025-03-28,Invoice,INV0000007,400000,Sales Revenue,0.00,1911754.39,INR,PO-907687,CUST000001
GL00000007-3,2025-03-28,Invoice,INV0000007,220000,Sales Tax Payable,0.00,229410.53,INR,PO-907687,CUST000001
GL00000008-1,2024-10-23,Invoice,INV0000008,120000,Accounts Receivable,848866.49,0.00,INR,PO-370358,CUST000001
GL00000008-2,2024-10-23,Invoice,INV0000008,400000,Sales Revenue,0.00,808444.28,INR,PO-370358,CUST000001
GL00000008-3,2024-10-23,Invoice,INV0000008,220000,Sales Tax Payable,0.00,40422.21,INR,PO-370358,CUST000001
GL00010008-1,2024-12-14,Payment,PAY0000008,110000,Bank Account,848866.49,0.00,INR,Payment for INV0000008,CUST000001
GL00010008-2,2024-12-14,Payment,PAY0000008,120000,Accounts Receivable,0.00,848866.49,INR,Payment for INV0000008,CUST000001
GL00000011-1,2024-11-13,Invoice,INV0000011,120000,Accounts Receivable,143854.67,0.00,INR,PO-478986,CUST000002
GL00000011-2,2024-11-13,Invoice,INV0000011,400000,Sales Revenue,0.00,121910.74,INR,PO-478986,CUST000002
GL00000011-3,2024-11-13,Invoice,INV0000011,220000,Sales Tax Payable,0.00,21943.93,INR,PO-478986,CUST000002
GL00000012-1,2025-02-16,Invoice,INV0000012,120000,Accounts Receivable,496809.77,0.00,INR,PO-363614,CUST000002
GL00000012-2,2025-02-16,Invoice,INV0000012,400000,Sales Revenue,0.00,421025.23,INR,PO-363614,CUST000002
GL00000012-3,2025-02-16,Invoice,INV0000012,220000,Sales Tax Payable,0.00,75784.54,INR,PO-363614,CUST000002
GL00010012-1,2025-02-22,Payment,PAY0000012,110000,Bank Account,496809.77,0.00,INR,Payment for INV0000012,CUST000002
GL00010012-2,2025-02-22,Payment,PAY0000012,120000,Accounts Receivable,0.00,496809.77,INR,Payment for INV0000012,CUST000002
GL00000013-1,2025-03-14,Invoice,INV0000013,120000,Accounts Receivable,220884.18,0.00,INR,PO-764673,CUST000002
GL00000013-2,2025-03-14,Invoice,INV0000013,400000,Sales Revenue,0.00,197218.02,INR,PO-764673,CUST000002
GL00000013-3,2025-03-14,Invoice,INV0000013,220000,Sales Tax Payable,0.00,23666.16,INR,PO-764673,CUST000002
GL00010013-1,2025-04-14,Payment,PAY0000013,110000,Bank Account,220884.18,0.00,INR,Payment for INV0000013,CUST000002
GL00010013-2,2025-04-14,Payment,PAY0000013,120000,Accounts Receivable,0.00,220884.18,INR,Payment for INV0000013,CUST000002
GL00000021-1,2025-01-10,Invoice,INV0000021,120000,Accounts Receivable,198875.45,0.00,INR,PO-842755,CUST000003
GL00000021-2,2025-01-10,Invoice,INV0000021,400000,Sales Revenue,0.00,168538.52,INR,PO-842755,CUST000003
GL00000021-3,2025-01-10,Invoice,INV0000021,220000,Sales Tax Payable,0.00,30336.93,INR,PO-842755,CUST000003
GL00010021-1,2025-03-25,Payment,PAY0000021,110000,Bank Account,198875.45,0.00,INR,Payment for INV0000021,CUST000003
GL00010021-2,2025-03-25,Payment,PAY0000021,120000,Accounts Receivable,0.00,198875.45,INR,Payment for INV0000021,CUST000003
GL00000022-1,2025-03-23,Invoice,INV0000022,120000,Accounts Receivable,151808.22,0.00,INR,PO-298047,CUST000003
GL00000022-2,2025-03-23,Invoice,INV0000022,400000,Sales Revenue,0.00,128651.03,INR,PO-298047,CUST000003
GL00000022-3,2025-03-23,Invoice,INV0000022,220000,Sales Tax Payable,0.00,23157.19,INR,PO-298047,CUST000003
GL00010022-1,2025-04-21,Payment,PAY0000022,110000,Bank Account,53520.29,0.00,INR,Payment for INV0000022,CUST000003
GL00010022-2,2025-04-21,Payment,PAY0000022,120000,Accounts Receivable,0.00,53520.29,INR,Payment for INV0000022,CUST000003
GL00000023-1,2025-03-19,Invoice,INV0000023,120000,Accounts Receivable,307394.97,0.00,INR,PO-809740,CUST000003
GL00000023-2,2025-03-19,Invoice,INV0000023,400000,Sales Revenue,0.00,260504.21,INR,PO-809740,CUST000003
GL00000023-3,2025-03-19,Invoice,INV0000023,220000,Sales Tax Payable,0.00,46890.76,INR,PO-809740,CUST000003
GL00000031-1,2025-03-03,Invoice,INV0000031,120000,Accounts Receivable,76612.46,0.00,INR,PO-913661,CUST000004
GL00000031-2,2025-03-03,Invoice,INV0000031,400000,Sales Revenue,0.00,64925.81,INR,PO-913661,CUST000004
GL00000031-3,2025-03-03,Invoice,INV0000031,220000,Sales Tax Payable,0.00,11686.65,INR,PO-913661,CUST000004
GL00000032-1,2025-04-13,Invoice,INV0000032,120000,Accounts Receivable,28809.53,0.00,INR,PO-794554,CUST000004
GL00000032-2,2025-04-13,Invoice,INV0000032,400000,Sales Revenue,0.00,24414.86,INR,PO-794554,CUST000004
GL00000032-3,2025-04-13,Invoice,INV0000032,220000,Sales Tax Payable,0.00,4394.67,INR,PO-794554,CUST000004
GL00010032-1,2025-05-03,Payment,PAY0000032,110000,Bank Account,28809.53,0.00,INR,Payment for INV0000032,CUST000004
GL00010032-2,2025-05-03,Payment,PAY0000032,120000,Accounts Receivable,0.00,28809.53,INR,Payment for INV0000032,CUST000004
GL00000033-1,2025-03-31,Invoice,INV0000033,120000,Accounts Receivable,110975.55,0.00,INR,PO-773152,CUST000004
GL00000033-2,2025-03-31,Invoice,INV0000033,400000,Sales Revenue,0.00,94047.08,INR,PO-773152,CUST000004
GL00000033-3,2025-03-31,Invoice,INV0000033,220000,Sales Tax Payable,0.00,16928.47,INR,PO-773152,CUST000004
GL00010033-1,2025-04-21,Payment,PAY0000033,110000,Bank Account,110975.55,0.00,INR,Payment for INV0000033,CUST000004
GL00010033-2,2025-04-21,Payment,PAY0000033,120000,Accounts Receivable,0.00,110975.55,INR,Payment for INV0000033,CUST000004
GL00000034-1,2025-04-10,Invoice,INV0000034,120000,Accounts Receivable,63713.22,0.00,INR,PO-903198,CUST000004
GL00000034-2,2025-04-10,Invoice,INV0000034,400000,Sales Revenue,0.00,56886.80,INR,PO-903198,CUST000004
GL00000034-3,2025-04-10,Invoice,INV0000034,220000,Sales Tax Payable,0.00,6826.42,INR,PO-903198,CUST000004
GL00010034-1,2025-04-14,Payment,PAY0000034,110000,Bank Account,63713.22,0.00,INR,Payment for INV0000034,CUST000004
GL00010034-2,2025-04-14,Payment,PAY0000034,120000,Accounts Receivable,0.00,63713.22,INR,Payment for INV0000034,CUST000004
GL00000035-1,2025-02-17,Invoice,INV0000035,120000,Accounts Receivable,90574.69,0.00,INR,PO-725543,CUST000004
GL00000035-2,2025-02-17,Invoice,INV0000035,400000,Sales Revenue,0.00,86261.61,INR,PO-725543,CUST000004
GL00000035-3,2025-02-17,Invoice,INV0000035,220000,Sales Tax Payable,0.00,4313.08,INR,PO-725543,CUST000004
GL00010035-1,2025-04-03,Payment,PAY0000035,110000,Bank Account,90574.69,0.00,INR,Payment for INV0000035,CUST000004
GL00010035-2,2025-04-03,Payment,PAY0000035,120000,Accounts Receivable,0.00,90574.69,INR,Payment for INV0000035,CUST000004
GL00000036-1,2025-01-31,Invoice,INV0000036,120000,Accounts Receivable,54075.95,0.00,INR,PO-223860,CUST000004
GL00000036-2,2025-01-31,Invoice,INV0000036,400000,Sales Revenue,0.00,45827.08,INR,PO-223860,CUST000004
GL00000036-3,2025-01-31,Invoice,INV0000036,220000,Sales Tax Payable,0.00,8248.87,INR,PO-223860,CUST000004
GL00010036-1,2025-03-20,Payment,PAY0000036,110000,Bank Account,54075.95,0.00,INR,Payment for INV0000036,CUST000004
GL00010036-2,2025-03-20,Payment,PAY0000036,120000,Accounts Receivable,0.00,54075.95,INR,Payment for INV0000036,CUST000004
GL00000041-1,2025-01-01,Invoice,INV0000041,120000,Accounts Receivable,337808.03,0.00,INR,PO-883872,CUST000005
GL00000041-2,2025-01-01,Invoice,INV0000041,400000,Sales Revenue,0.00,301614.31,INR,PO-883872,CUST000005
GL00000041-3,2025-01-01,Invoice,INV0000041,220000,Sales Tax Payable,0.00,36193.72,INR,PO-883872,CUST000005
GL00000042-1,2025-01-04,Invoice,INV0000042,120000,Accounts Receivable,172445.55,0.00,INR,PO-954281,CUST000005
GL00000042-2,2025-01-04,Invoice,INV0000042,400000,Sales Revenue,0.00,164233.86,INR,PO-954281,CUST000005
GL00000042-3,2025-01-04,Invoice,INV0000042,220000,Sales Tax Payable,0.00,8211.69,INR,PO-954281,CUST000005
GL00010042-1,2025-04-14,Payment,PAY0000042,110000,Bank Account,172445.55,0.00,INR,Payment for INV0000042,CUST000005
GL00010042-2,2025-04-14,Payment,PAY0000042,120000,Accounts Receivable,0.00,172445.55,INR,Payment for INV0000042,CUST000005
GL00000043-1,2025-03-12,Invoice,INV0000043,120000,Accounts Receivable,495876.68,0.00,INR,PO-963941,CUST000005
GL00000043-2,2025-03-12,Invoice,INV0000043,400000,Sales Revenue,0.00,442747.04,INR,PO-963941,CUST000005
GL00000043-3,2025-03-12,Invoice,INV0000043,220000,Sales Tax Payable,0.00,53129.64,INR,PO-963941,CUST000005
GL00010043-1,2025-03-31,Payment,PAY0000043,110000,Bank Account,495876.68,0.00,INR,Payment for INV0000043,CUST000005
GL00010043-2,2025-03-31,Payment,PAY0000043,120000,Accounts Receivable,0.00,495876.68,INR,Payment for INV0000043,CUST000005
GL00000044-1,2025-01-29,Invoice,INV0000044,120000,Accounts Receivable,311270.77,0.00,INR,PO-392405,CUST000005
GL00000044-2,2025-01-29,Invoice,INV0000044,400000,Sales Revenue,0.00,263788.79,INR,PO-392405,CUST000005
GL00000044-3,2025-01-29,Invoice,INV0000044,220000,Sales Tax Payable,0.00,47481.98,INR,PO-392405,CUST000005
GL00010044-1,2025-03-27,Payment,PAY0000044,110000,Bank Account,311270.77,0.00,INR,Payment for INV0000044,CUST000005
GL00010044-2,2025-03-27,Payment,PAY0000044,120000,Accounts Receivable,0.00,311270.77,INR,Payment for INV0000044,CUST000005
GL00000045-1,2025-03-02,Invoice,INV0000045,120000,Accounts Receivable,504881.05,0.00,INR,PO-215625,CUST000005
GL00000045-2,2025-03-02,Invoice,INV0000045,400000,Sales Revenue,0.00,480839.10,INR,PO-215625,CUST000005
GL00000045-3,2025-03-02,Invoice,INV0000045,220000,Sales Tax Payable,0.00,24041.96,INR,PO-215625,CUST000005
GL00000051-1,2025-02-17,Invoice,INV0000051,120000,Accounts Receivable,928874.41,0.00,INR,PO-480830,CUST000006
GL00000051-2,2025-02-17,Invoice,INV0000051,400000,Sales Revenue,0.00,787181.70,INR,PO-480830,CUST000006
GL00000051-3,2025-02-17,Invoice,INV0000051,220000,Sales Tax Payable,0.00,141692.71,INR,PO-480830,CUST000006
GL00000052-1,2025-04-13,Invoice,INV0000052,120000,Accounts Receivable,1444456.07,0.00,INR,PO-672152,CUST000006
GL00000052-2,2025-04-13,Invoice,INV0000052,400000,Sales Revenue,0.00,1375672.45,INR,PO-672152,CUST000006
GL00000052-3,2025-04-13,Invoice,INV0000052,220000,Sales Tax Payable,0.00,68783.62,INR,PO-672152,CUST000006
GL00010052-1,2025-04-18,Payment,PAY0000052,110000,Bank Account,1444456.07,0.00,INR,Payment for INV0000052,CUST000006
GL00010052-2,2025-04-18,Payment,PAY0000052,120000,Accounts Receivable,0.00,1444456.07,INR,Payment for INV0000052,CUST000006
GL00000053-1,2024-12-28,Invoice,INV0000053,120000,Accounts Receivable,1316183.33,0.00,INR,PO-947354,CUST000006
GL00000053-2,2024-12-28,Invoice,INV0000053,400000,Sales Revenue,0.00,1115409.60,INR,PO-947354,CUST000006
GL00000053-3,2024-12-28,Invoice,INV0000053,220000,Sales Tax Payable,0.00,200773.73,INR,PO-947354,CUST000006
GL00010053-1,2025-01-09,Payment,PAY0000053,110000,Bank Account,1316183.33,0.00,INR,Payment for INV0000053,CUST000006
GL00010053-2,2025-01-09,Payment,PAY0000053,120000,Accounts Receivable,0.00,1316183.33,INR,Payment for INV0000053,CUST000006
GL00000054-1,2025-02-08,Invoice,INV0000054,120000,Accounts Receivable,848365.53,0.00,INR,PO-799810,CUST000006
GL00000054-2,2025-02-08,Invoice,INV0000054,400000,Sales Revenue,0.00,662785.57,INR,PO-799810,CUST000006
GL00000054-3,2025-02-08,Invoice,INV0000054,220000,Sales Tax Payable,0.00,185579.96,INR,PO-799810,CUST000006
GL00010054-1,2025-03-11,Payment,PAY0000054,110000,Bank Account,848365.53,0.00,INR,Payment for INV0000054,CUST000006
GL00010054-2,2025-03-11,Payment,PAY0000054,120000,Accounts Receivable,0.00,848365.53,INR,Payment for INV0000054,CUST000006
GL00000055-1,2025-03-04,Invoice,INV0000055,120000,Accounts Receivable,624317.50,0.00,INR,PO-497124,CUST000006
GL00000055-2,2025-03-04,Invoice,INV0000055,400000,Sales Revenue,0.00,529082.63,INR,PO-497124,CUST000006
GL00000055-3,2025-03-04,Invoice,INV0000055,220000,Sales Tax Payable,0.00,95234.87,INR,PO-497124,CUST000006
GL00010055-1,2025-03-21,Payment,PAY0000055,110000,Bank Account,624317.50,0.00,INR,Payment for INV0000055,CUST000006
GL00010055-2,2025-03-21,Payment,PAY0000055,120000,Accounts Receivable,0.00,624317.50,INR,Payment for INV0000055,CUST000006
GL00000061-1,2025-01-02,Invoice,INV0000061,120000,Accounts Receivable,360580.15,0.00,INR,PO-368288,CUST000007
GL00000061-2,2025-01-02,Invoice,INV0000061,400000,Sales Revenue,0.00,343409.67,INR,PO-368288,CUST000007
GL00000061-3,2025-01-02,Invoice,INV0000061,220000,Sales Tax Payable,0.00,17170.48,INR,PO-368288,CUST000007
GL00010061-1,2025-02-03,Payment,PAY0000061,110000,Bank Account,360580.15,0.00,INR,Payment for INV0000061,CUST000007
GL00010061-2,2025-02-03,Payment,PAY0000061,120000,Accounts Receivable,0.00,360580.15,INR,Payment for INV0000061,CUST000007
GL00000062-1,2025-03-03,Invoice,INV0000062,120000,Accounts Receivable,506534.71,0.00,INR,PO-412850,CUST000007
GL00000062-2,2025-03-03,Invoice,INV0000062,400000,Sales Revenue,0.00,452263.13,INR,PO-412850,CUST000007
GL00000062-3,2025-03-03,Invoice,INV0000062,220000,Sales Tax Payable,0.00,54271.58,INR,PO-412850,CUST000007
GL00000063-1,2024-11-12,Invoice,INV0000063,120000,Accounts Receivable,232542.49,0.00,INR,PO-811050,CUST000007
GL00000063-2,2024-11-12,Invoice,INV0000063,400000,Sales Revenue,0.00,197069.91,INR,PO-811050,CUST000007
GL00000063-3,2024-11-12,Invoice,INV0000063,220000,Sales Tax Payable,0.00,35472.58,INR,PO-811050,CUST000007
GL00000064-1,2025-02-23,Invoice,INV0000064,120000,Accounts Receivable,181393.62,0.00,INR,PO-946187,CUST000007
GL00000064-2,2025-02-23,Invoice,INV0000064,400000,Sales Revenue,0.00,172755.83,INR,PO-946187,CUST000007
GL00000064-3,2025-02-23,Invoice,INV0000064,220000,Sales Tax Payable,0.00,8637.79,INR,PO-946187,CUST000007
GL00010064-1,2025-03-09,Payment,PAY0000064,110000,Bank Account,181393.62,0.00,INR,Payment for INV0000064,CUST000007
GL00010064-2,2025-03-09,Payment,PAY0000064,120000,Accounts Receivable,0.00,181393.62,INR,Payment for INV0000064,CUST000007
GL00000065-1,2025-03-13,Invoice,INV0000065,120000,Accounts Receivable,503041.22,0.00,INR,PO-153044,CUST000007
GL00000065-2,2025-03-13,Invoice,INV0000065,400000,Sales Revenue,0.00,393000.95,INR,PO-153044,CUST000007
GL00000065-3,2025-03-13,Invoice,INV0000065,220000,Sales Tax Payable,0.00,110040.27,INR,PO-153044,CUST000007
GL00010065-1,2025-04-12,Payment,PAY0000065,110000,Bank Account,503041.22,0.00,INR,Payment for INV0000065,CUST000007
GL00010065-2,2025-04-12,Payment,PAY0000065,120000,Accounts Receivable,0.00,503041.22,INR,Payment for INV0000065,CUST000007
GL00000066-1,2025-03-28,Invoice,INV0000066,120000,Accounts Receivable,180347.48,0.00,INR,PO-885308,CUST000007
GL00000066-2,2025-03-28,Invoice,INV0000066,400000,Sales Revenue,0.00,161024.54,INR,PO-885308,CUST000007
GL00000066-3,2025-03-28,Invoice,INV0000066,220000,Sales Tax Payable,0.00,19322.94,INR,PO-885308,CUST000007
GL00000071-1,2025-04-16,Invoice,INV0000071,120000,Accounts Receivable,1547316.48,0.00,INR,PO-596637,CUST000008
GL00000071-2,2025-04-16,Invoice,INV0000071,400000,Sales Revenue,0.00,1381532.57,INR,PO-596637,CUST000008
GL00000071-3,2025-04-16,Invoice,INV0000071,220000,Sales Tax Payable,0.00,165783.91,INR,PO-596637,CUST000008
GL00000072-1,2025-01-16,Invoice,INV0000072,120000,Accounts Receivable,372325.60,0.00,INR,PO-271704,CUST000008
GL00000072-2,2025-01-16,Invoice,INV0000072,400000,Sales Revenue,0.00,332433.57,INR,PO-271704,CUST000008
GL00000072-3,2025-01-16,Invoice,INV0000072,220000,Sales Tax Payable,0.00,39892.03,INR,PO-271704,CUST000008
GL00000073-1,2024-12-10,Invoice,INV0000073,120000,Accounts Receivable,2203692.74,0.00,INR,PO-663540,CUST000008
GL00000073-2,2024-12-10,Invoice,INV0000073,400000,Sales Revenue,0.00,1967582.80,INR,PO-663540,CUST000008
GL00000073-3,2024-12-10,Invoice,INV0000073,220000,Sales Tax Payable,0.00,236109.94,INR,PO-663540,CUST000008
GL00010073-1,2025-02-05,Payment,PAY0000073,110000,Bank Account,2203692.74,0.00,INR,Payment for INV0000073,CUST000008
GL00010073-2,2025-02-05,Payment,PAY0000073,120000,Accounts Receivable,0.00,2203692.74,INR,Payment for INV0000073,CUST000008
GL00000074-1,2025-02-11,Invoice,INV0000074,120000,Accounts Receivable,1047716.82,0.00,INR,PO-628090,CUST000008
GL00000074-2,2025-02-11,Invoice,INV0000074,400000,Sales Revenue,0.00,887895.61,INR,PO-628090,CUST000008
GL00000074-3,2025-02-11,Invoice,INV0000074,220000,Sales Tax Payable,0.00,159821.21,INR,PO-628090,CUST000008
GL00010074-1,2025-04-12,Payment,PAY0000074,110000,Bank Account,1047716.82,0.00,INR,Payment for INV0000074,CUST000008
GL00010074-2,2025-04-12,Payment,PAY0000074,120000,Accounts Receivable,0.00,1047716.82,INR,Payment for INV0000074,CUST000008
GL00000081-1,2024-12-28,Invoice,INV0000081,120000,Accounts Receivable,84783.41,0.00,INR,PO-707494,CUST000009
GL00000081-2,2024-12-28,Invoice,INV0000081,400000,Sales Revenue,0.00,66237.04,INR,PO-707494,CUST000009
GL00000081-3,2024-12-28,Invoice,INV0000081,220000,Sales Tax Payable,0.00,18546.37,INR,PO-707494,CUST000009
GL00010081-1,2025-01-02,Payment,PAY0000081,110000,Bank Account,84783.41,0.00,INR,Payment for INV0000081,CUST000009
GL00010081-2,2025-01-02,Payment,PAY0000081,120000,Accounts Receivable,0.00,84783.41,INR,Payment for INV0000081,CUST000009
GL00000082-1,2025-01-26,Invoice,INV0000082,120000,Accounts Receivable,19057.73,0.00,INR,PO-852918,CUST000009
GL00000082-2,2025-01-26,Invoice,INV0000082,400000,Sales Revenue,0.00,18150.22,INR,PO-852918,CUST000009
GL00000082-3,2025-01-26,Invoice,INV0000082,220000,Sales Tax Payable,0.00,907.51,INR,PO-852918,CUST000009
GL00000083-1,2024-11-05,Invoice,INV0000083,120000,Accounts Receivable,104618.88,0.00,INR,PO-934067,CUST000009
GL00000083-2,2024-11-05,Invoice,INV0000083,400000,Sales Revenue,0.00,99637.03,INR,PO-934067,CUST000009
GL00000083-3,2024-11-05,Invoice,INV0000083,220000,Sales Tax Payable,0.00,4981.85,INR,PO-934067,CUST000009
GL00010083-1,2025-01-18,Payment,PAY0000083,110000,Bank Account,104618.88,0.00,INR,Payment for INV0000083,CUST000009
GL00010083-2,2025-01-18,Payment,PAY0000083,120000,Accounts Receivable,0.00,104618.88,INR,Payment for INV0000083,CUST000009
GL00000084-1,2025-02-21,Invoice,INV0000084,120000,Accounts Receivable,112693.04,0.00,INR,PO-256075,CUST000009
GL00000084-2,2025-02-21,Invoice,INV0000084,400000,Sales Revenue,0.00,88041.44,INR,PO-256075,CUST000009
GL00000084-3,2025-02-21,Invoice,INV0000084,220000,Sales Tax Payable,0.00,24651.60,INR,PO-256075,CUST000009
GL00010084-1,2025-03-30,Payment,PAY0000084,110000,Bank Account,41744.27,0.00,INR,Payment for INV0000084,CUST000009
GL00010084-2,2025-03-30,Payment,PAY0000084,120000,Accounts Receivable,0.00,41744.27,INR,Payment for INV0000084,CUST000009
GL00000085-1,2025-01-17,Invoice,INV0000085,120000,Accounts Receivable,13909.45,0.00,INR,PO-361582,CUST000009
GL00000085-2,2025-01-17,Invoice,INV0000085,400000,Sales Revenue,0.00,12419.15,INR,PO-361582,CUST000009
GL00000085-3,2025-01-17,Invoice,INV0000085,220000,Sales Tax Payable,0.00,1490.30,INR,PO-361582,CUST000009
GL00000086-1,2024-12-30,Invoice,INV0000086,120000,Accounts Receivable,69808.99,0.00,INR,PO-770219,CUST000009
GL00000086-2,2024-12-30,Invoice,INV0000086,400000,Sales Revenue,0.00,59160.16,INR,PO-770219,CUST000009
GL00000086-3,2024-12-30,Invoice,INV0000086,220000,Sales Tax Payable,0.00,10648.83,INR,PO-770219,CUST000009
GL00010086-1,2025-02-14,Payment,PAY0000086,110000,Bank Account,69808.99,0.00,INR,Payment for INV0000086,CUST000009
GL00010086-2,2025-02-14,Payment,PAY0000086,120000,Accounts Receivable,0.00,69808.99,INR,Payment for INV0000086,CUST000009
GL00000087-1,2025-03-10,Invoice,INV0000087,120000,Accounts Receivable,83078.59,0.00,INR,PO-270759,CUST000009
GL00000087-2,2025-03-10,Invoice,INV0000087,400000,Sales Revenue,0.00,79122.47,INR,PO-270759,CUST000009
GL00000087-3,2025-03-10,Invoice,INV0000087,220000,Sales Tax Payable,0.00,3956.12,INR,PO-270759,CUST000009
GL00010087-1,2025-04-17,Payment,PAY0000087,110000,Bank Account,83078.59,0.00,INR,Payment for INV0000087,CUST000009
GL00010087-2,2025-04-17,Payment,PAY0000087,120000,Accounts Receivable,0.00,83078.59,INR,Payment for INV0000087,CUST000009
GL00000091-1,2025-03-03,Invoice,INV0000091,120000,Accounts Receivable,433303.27,0.00,INR,PO-729223,CUST000010
GL00000091-2,2025-03-03,Invoice,INV0000091,400000,Sales Revenue,0.00,367206.16,INR,PO-729223,CUST000010
GL00000091-3,2025-03-03,Invoice,INV0000091,220000,Sales Tax Payable,0.00,66097.11,INR,PO-729223,CUST000010
GL00010091-1,2025-03-16,Payment,PAY0000091,110000,Bank Account,433303.27,0.00,INR,Payment for INV0000091,CUST000010
GL00010091-2,2025-03-16,Payment,PAY0000091,120000,Accounts Receivable,0.00,433303.27,INR,Payment for INV0000091,CUST000010
GL00000092-1,2024-11-28,Invoice,INV0000092,120000,Accounts Receivable,117109.35,0.00,INR,PO-940242,CUST000010
GL00000092-2,2024-11-28,Invoice,INV0000092,400000,Sales Revenue,0.00,99245.21,INR,PO-940242,CUST000010
GL00000092-3,2024-11-28,Invoice,INV0000092,220000,Sales Tax Payable,0.00,17864.14,INR,PO-940242,CUST000010
GL00010092-1,2025-03-28,Payment,PAY0000092,110000,Bank Account,117109.35,0.00,INR,Payment for INV0000092,CUST000010
GL00010092-2,2025-03-28,Payment,PAY0000092,120000,Accounts Receivable,0.00,117109.35,INR,Payment for INV0000092,CUST000010
GL00000093-1,2025-01-07,Invoice,INV0000093,120000,Accounts Receivable,240050.30,0.00,INR,PO-963340,CUST000010
GL00000093-2,2025-01-07,Invoice,INV0000093,400000,Sales Revenue,0.00,203432.46,INR,PO-963340,CUST000010
GL00000093-3,2025-01-07,Invoice,INV0000093,220000,Sales Tax Payable,0.00,36617.84,INR,PO-963340,CUST000010
GL00010093-1,2025-02-13,Payment,PAY0000093,110000,Bank Account,240050.30,0.00,INR,Payment for INV0000093,CUST000010
GL00010093-2,2025-02-13,Payment,PAY0000093,120000,Accounts Receivable,0.00,240050.30,INR,Payment for INV0000093,CUST000010
GL00000094-1,2025-01-06,Invoice,INV0000094,120000,Accounts Receivable,159071.91,0.00,INR,PO-545421,CUST000010
GL00000094-2,2025-01-06,Invoice,INV0000094,400000,Sales Revenue,0.00,142028.49,INR,PO-545421,CUST000010
GL00000094-3,2025-01-06,Invoice,INV0000094,220000,Sales Tax Payable,0.00,17043.42,INR,PO-545421,CUST000010
GL00010094-1,2025-03-15,Payment,PAY0000094,110000,Bank Account,159071.91,0.00,INR,Payment for INV0000094,CUST000010
GL00010094-2,2025-03-15,Payment,PAY0000094,120000,Accounts Receivable,0.00,159071.91,INR,Payment for INV0000094,CUST000010
