plan_id,invoice_id,customer_id,customer_name,start_date,end_date,original_amount,installments,installment_amount,installments_paid,remaining_balance,status,created_by,handler_id,next_installment_date,last_payment_date
PLAN000015,INV0000244,CUST000025,HDFC Info Limited,2025-01-16,2025-03-16,186870.31,2,93435.15,2,0.01,Completed,Rajesh Gupta,REP000009,,2025-03-04
PLAN000016,INV0000253,CUST000026,Wipro Info Limited,2025-01-26,2025-04-26,840104.60,3,280034.87,2,280034.86,Active,Pooja Mishra,REP000033,2025-04-26,2025-02-15
PLAN000017,INV0000313,CUST000032,L&T Info Limited,2025-04-08,2025-07-08,249595.68,3,83198.56,0,249595.68,Active,Sunil Joshi,REP000044,2025-05-08,
PLAN000018,INV0000341,CUST000035,TCS Info Limited,2025-02-09,2025-04-09,471879.68,2,235939.84,2,0.00,Completed,Pooja Mishra,REP000033,,2025-03-28
PLAN000019,INV0000374,CUST000038,Hindustan Info Limited,2025-03-13,2025-10-13,2008691.95,7,286955.99,1,1721735.96,Active,Vijay Mishra,REP000023,2025-05-13,2025-04-16
PLAN000020,INV0000381,CUST000039,Indian Info Limited,2025-02-07,2025-04-07,313370.30,2,156685.15,2,0.00,Completed,Rajesh Gupta,REP000009,,2025-04-10
PLAN000021,INV0000395,CUST000040,Tech Info Limited,2025-02-10,2025-07-10,965727.08,5,193145.42,0,965727.08,Canceled,Raj Mishra,REP000021,,
PLAN000022,INV0000464,CUST000047,Mahindra Auto Limited,2025-02-03,2025-04-03,71835.97,2,35917.99,2,-0.01,Completed,Sanjay Mishra,REP000027,,2025-02-20
PLAN000024,INV0000682,CUST000069,Adani Fin Limited,2025-01-25,2025-05-25,2374453.30,4,593613.32,2,1187226.66,Active,Rahul Joshi,REP000046,2025-04-25,2025-03-18
PLAN000025,INV0000686,CUST000069,Adani Fin Limited,2025-01-08,2025-05-08,568091.37,4,142022.84,3,142022.85,Active,Priya Gupta,REP000011,2025-05-08,2025-01-22
PLAN000026,INV0000691,CUST000070,JSW Fin Limited,2025-02-26,2025-06-26,976897.52,4,244224.38,1,732673.14,Active,Priya Gupta,REP000011,2025-04-27,2025-03-02
PLAN000027,INV0000704,CUST000071,Godrej Fin Limited,2025-03-11,2025-07-11,655281.54,4,163820.39,1,491461.15,Active,Rani Gupta,REP000014,2025-05-11,2025-03-30
PLAN000028,INV0000762,CUST000077,HCL Fin Limited,2025-01-14,2025-06-14,504129.60,5,100825.92,3,201651.84,Active,Anita Mishra,REP000036,2025-05-14,2025-02-28
PLAN000029,INV0000783,CUST000079,Indian Fin Limited,2025-04-03,2025-07-03,121122.72,3,40374.24,0,121122.72,Active,Sunil Gupta,REP000004,2025-05-03,
PLAN000030,INV0000827,CUST000083,Infosys Power Limited,2025-03-17,2025-06-17,131813.81,3,43937.94,1,87875.87,Active,Anita Mishra,REP000036,2025-05-17,2025-04-07
PLAN000031,INV0000831,CUST000084,Bharti Power Limited,2025-04-09,2025-06-09,42712.65,2,21356.33,0,42712.65,Active,Anil Gupta,REP000005,2025-05-09,
PLAN000032,INV0000888,CUST000089,Adani Power Limited,2025-04-16,2025-06-16,93355.51,2,46677.75,0,93355.51,Active,Anil Joshi,REP000045,2025-05-16,
PLAN000033,INV0000903,CUST000091,Godrej Power Limited,2025-04-17,2025-06-17,111477.22,2,55738.61,0,111477.22,Active,Rakesh Gupta,REP000008,2025-05-17,
PLAN000034,INV0000934,CUST000094,SBI Power Limited,2025-02-08,2025-05-08,212383.00,3,70794.33,2,70794.34,Active,Geeta Mishra,REP000040,2025-05-08,2025-04-13
PLAN000035,INV0000956,CUST000096,Bajaj Power Limited,2024-12-17,2025-03-17,73075.16,3,24358.39,3,-0.01,Completed,Ashok Mishra,REP000030,,2024-12-17
PLAN000036,INV0001013,CUST000102,Reliance Steel Limited,2024-12-18,2025-02-18,18457.67,2,9228.83,2,0.01,Completed,Sunita Gupta,REP000015,,2025-02-27
PLAN000037,INV0001037,CUST000104,Bharti Steel Limited,2025-02-06,2025-08-06,1665533.30,6,277588.88,2,1110355.54,Active,Anil Mishra,REP000025,2025-05-07,2025-03-05
PLAN000038,INV0001124,CUST000113,ICICI Steel Limited,2025-01-15,2025-04-15,160061.08,3,53353.69,3,0.01,Completed,Rahul Joshi,REP000046,,2025-03-31
PLAN000039,INV0001143,CUST000115,TCS Steel Limited,2025-03-15,2025-05-15,50711.77,2,25355.88,1,25355.89,Active,Rakesh Joshi,REP000048,2025-05-15,2025-03-25
PLAN000040,INV0001158,CUST000116,Bajaj Steel Limited,2025-02-02,2025-05-02,69504.77,3,23168.26,2,23168.25,Active,Raj Mishra,REP000021,2025-05-02,2025-03-07
PLAN000041,INV0001163,CUST000117,HCL Steel Limited,2025-02-13,2025-04-13,200036.96,2,100018.48,2,0.00,Completed,Neha Mishra,REP000032,,2025-02-20
PLAN000042,INV0001222,CUST000123,Infosys Textiles Limited,2025-01-11,2025-04-11,76999.44,3,25666.48,0,76999.44,Defaulted,Geeta Mishra,REP000040,,
PLAN000043,INV0001266,CUST000127,Mahindra Textiles Limited,2024-11-08,2025-01-08,78573.59,2,39286.79,2,0.01,Completed,Rajesh Gupta,REP000009,,2025-03-17
PLAN000045,INV0001293,CUST000130,JSW Textiles Limited,2025-01-07,2025-03-07,87654.53,2,43827.26,2,0.01,Completed,Sunita Gupta,REP000015,,2025-01-09
PLAN000046,INV0001302,CUST000131,Godrej Textiles Limited,2025-02-01,2025-05-01,96160.15,3,32053.38,2,32053.39,Active,Raj Joshi,REP000041,2025-05-01,2025-02-06
PLAN000047,INV0001308,CUST000131,Godrej Textiles Limited,2025-01-18,2025-03-18,79200.18,2,39600.09,0,79200.18,Defaulted,Anil Mishra,REP000025,,
PLAN000048,INV0001313,CUST000132,L&T Textiles Limited,2025-03-07,2025-05-07,25024.47,2,12512.24,1,12512.23,Active,Neha Gupta,REP000012,2025-05-07,2025-04-16
PLAN000049,INV0001342,CUST000135,TCS Textiles Limited,2025-01-10,2025-03-10,36134.24,2,18067.12,2,0.00,Completed,Rakesh Mishra,REP000028,,2025-02-15
PLAN000050,INV0001361,CUST000137,HCL Textiles Limited,2025-03-15,2025-06-15,16943.44,3,5647.81,1,11295.63,Active,Sunita Gupta,REP000015,2025-05-15,2025-03-29
PLAN000051,INV0001392,CUST000140,Tech Textiles Limited,2025-01-22,2025-03-22,102198.37,2,51099.18,2,0.01,Completed,Rani Mishra,REP000034,,2025-03-21
PLAN000052,INV0001396,CUST000140,Tech Textiles Limited,2025-01-16,2025-03-16,43346.66,2,21673.33,2,0.00,Completed,Meena Mishra,REP000037,,2025-03-11
PLAN000053,INV0001404,CUST000141,Tata Pharma Limited,2025-02-13,2025-04-13,29892.00,2,14946.00,2,0.00,Completed,Amit Gupta,REP000002,,2025-04-16
PLAN000054,INV0001435,CUST000144,Bharti Pharma Limited,2024-12-27,2025-05-27,534473.84,5,106894.77,1,427579.07,Canceled,Meena Gupta,REP000017,,2025-03-08
PLAN000055,INV0001445,CUST000145,HDFC Pharma Limited,2025-03-30,2025-06-30,188920.68,3,62973.56,0,188920.68,Active,Anita Mishra,REP000036,2025-04-29,
PLAN000056,INV0001481,CUST000149,Adani Pharma Limited,2025-01-17,2025-04-17,296150.95,3,98716.98,3,0.01,Completed,Anita Mishra,REP000036,,2025-03-19
PLAN000057,INV0001501,CUST000151,Godrej Pharma Limited,2025-01-28,2025-03-28,150804.20,2,75402.10,2,0.00,Completed,Rakesh Joshi,REP000048,,2025-03-29
PLAN000060,INV0001582,CUST000159,Indian Pharma Limited,2024-12-20,2025-02-20,81353.50,2,40676.75,2,0.00,Completed,Ashok Gupta,REP000010,,2025-01-06
PLAN000061,INV0001585,CUST000159,Indian Pharma Limited,2025-02-16,2025-04-16,486611.01,2,243305.51,2,-0.01,Completed,Sanjay Joshi,REP000047,,2025-02-20
PLAN000062,INV0001601,CUST000161,Tata Healthcare Limited,2025-01-02,2025-05-02,1775459.75,4,443864.94,3,443864.93,Active,Sunita Mishra,REP000035,2025-05-02,2025-04-09
PLAN000063,INV0001612,CUST000162,Reliance Healthcare Limited,2025-03-25,2025-07-25,1830432.59,4,457608.15,0,1830432.59,Active,Priya Mishra,REP000031,2025-04-24,
PLAN000064,INV0001622,CUST000163,Infosys Healthcare Limited,2025-01-18,2025-04-18,95079.38,3,31693.13,2,31693.12,Active,Sanjay Mishra,REP000027,2025-04-18,2025-02-28
PLAN000065,INV0001654,CUST000166,Wipro Healthcare Limited,2025-01-11,2025-08-11,1828928.47,7,261275.50,3,1045101.97,Active,Raj Gupta,REP000001,2025-05-12,2025-03-30
PLAN000066,INV0001701,CUST000171,Godrej Healthcare Limited,2025-01-30,2025-03-30,37292.63,2,18646.31,2,0.01,Completed,Kavita Mishra,REP000038,,2025-03-23
PLAN000067,INV0001713,CUST000172,L&T Healthcare Limited,2025-02-20,2025-04-20,339119.82,2,169559.91,0,339119.82,Canceled,Sanjay Gupta,REP000007,,
PLAN000068,INV0001722,CUST000173,ICICI Healthcare Limited,2025-03-06,2025-06-06,139578.33,3,46526.11,1,93052.22,Active,Sunita Mishra,REP000035,2025-05-06,2025-03-17
PLAN000069,INV0001723,CUST000173,ICICI Healthcare Limited,2025-01-26,2025-04-26,440340.72,3,146780.24,2,146780.24,Active,Raj Gupta,REP000001,2025-04-26,2025-04-09
PLAN000070,INV0001725,CUST000173,ICICI Healthcare Limited,2025-01-22,2025-04-22,371205.88,3,123735.29,2,123735.30,Active,Ashok Joshi,REP000050,2025-04-22,2025-02-06
PLAN000071,INV0001763,CUST000177,HCL Healthcare Limited,2024-12-03,2025-07-03,3920351.87,7,560050.27,4,1680150.79,Active,Sunita Mishra,REP000035,2025-05-03,2025-02-02
PLAN000072,INV0001776,CUST000178,Hindustan Healthcare Limited,2024-12-16,2025-03-16,26762.48,3,8920.83,3,-0.01,Completed,Anita Gupta,REP000016,,2025-01-23
PLAN000073,INV0001777,CUST000178,Hindustan Healthcare Limited,2024-12-09,2025-02-09,14923.77,2,7461.89,2,-0.01,Completed,Rahul Gupta,REP000006,,2025-01-13
PLAN000074,INV0001815,CUST000182,Reliance Retail Limited,2025-04-03,2025-07-03,83926.24,3,27975.41,0,83926.24,Active,Rahul Joshi,REP000046,2025-05-03,
PLAN000075,INV0001821,CUST000183,Infosys Retail Limited,2024-12-08,2025-02-08,466036.57,2,233018.29,0,466036.57,Defaulted,Amit Mishra,REP000022,,
PLAN000076,INV0001854,CUST000186,Wipro Retail Limited,2024-12-26,2025-02-26,99338.72,2,49669.36,2,0.00,Completed,Rakesh Mishra,REP000028,,2024-12-28
PLAN000077,INV0001884,CUST000189,Adani Retail Limited,2024-12-31,2025-03-03,30306.48,2,15153.24,2,0.00,Completed,Ashok Joshi,REP000050,,2025-02-26
PLAN000078,INV0001896,CUST000190,JSW Retail Limited,2025-01-12,2025-05-12,1858267.99,4,464567.00,3,464566.99,Active,Raj Gupta,REP000001,2025-05-12,2025-03-15
PLAN000079,INV0001903,CUST000191,Godrej Retail Limited,2025-04-03,2025-07-03,22834.44,3,7611.48,0,22834.44,Active,Sanjay Mishra,REP000027,2025-05-03,
PLAN000080,INV0001911,CUST000192,L&T Retail Limited,2025-03-28,2025-05-28,68749.60,2,34374.80,0,68749.60,Canceled,Rajesh Joshi,REP000049,,
PLAN000081,INV0001973,CUST000198,Hindustan Retail Limited,2025-01-07,2025-06-07,1055963.82,5,211192.76,3,422385.54,Active,Meena Gupta,REP000017,2025-05-07,2025-03-12
PLAN000082,INV0001982,CUST000199,Indian Retail Limited,2025-01-29,2025-04-29,17847.99,3,5949.33,2,5949.33,Active,Ashok Mishra,REP000030,2025-04-29,2025-03-22
PLAN000083,INV0001986,CUST000199,Indian Retail Limited,2024-12-21,2025-02-21,59208.25,2,29604.13,0,59208.25,Defaulted,Anil Joshi,REP000045,,
PLAN000084,INV0002033,CUST000204,Bharti Media Limited,2025-04-15,2025-11-15,1830443.74,7,261491.96,0,1830443.74,Active,Neha Gupta,REP000012,2025-05-15,
PLAN000085,INV0002042,CUST000205,HDFC Media Limited,2024-12-19,2025-03-19,25522.08,3,8507.36,3,0.00,Completed,Anita Gupta,REP000016,,2025-03-18
PLAN000086,INV0002045,CUST000205,HDFC Media Limited,2024-12-04,2025-03-04,88599.39,3,29533.13,3,0.00,Completed,Kavita Gupta,REP000018,,2025-03-03
PLAN000087,INV0002053,CUST000206,Wipro Media Limited,2025-03-18,2025-05-18,54316.06,2,27158.03,1,27158.03,Active,Ashok Gupta,REP000010,2025-05-18,2025-03-29
PLAN000088,INV0002062,CUST000207,Mahindra Media Limited,2025-02-10,2025-05-10,524503.77,3,174834.59,0,524503.77,Canceled,Anil Mishra,REP000025,,
PLAN000089,INV0002082,CUST000209,Adani Media Limited,2025-01-24,2025-04-24,64186.54,3,21395.51,0,64186.54,Canceled,Anil Joshi,REP000045,,
PLAN000090,INV0002112,CUST000212,L&T Media Limited,2025-02-22,2025-04-22,179920.20,2,89960.10,1,89960.10,Active,Neha Gupta,REP000012,2025-04-22,2025-04-04
PLAN000091,INV0002126,CUST000213,ICICI Media Limited,2024-12-28,2025-07-28,1265105.91,7,180729.42,3,722917.65,Active,Pooja Mishra,REP000033,2025-04-28,2025-01-17
PLAN000092,INV0002147,CUST000215,TCS Media Limited,2025-03-27,2025-06-27,85969.50,3,28656.50,0,85969.50,Active,Raj Mishra,REP000021,2025-04-26,
PLAN000094,INV0002183,CUST000219,Indian Media Limited,2024-12-22,2025-03-22,18083.44,3,6027.81,3,0.01,Completed,Ashok Joshi,REP000050,,2025-01-13
PLAN000095,INV0002202,CUST000221,Tata Telecom Limited,2025-03-05,2025-06-05,159333.62,3,53111.21,1,106222.41,Active,Meena Mishra,REP000037,2025-05-05,2025-04-02
PLAN000096,INV0002232,CUST000224,Bharti Telecom Limited,2025-03-02,2025-08-02,3983026.34,5,796605.27,1,3186421.07,Active,Priya Gupta,REP000011,2025-05-02,2025-03-12
PLAN000097,INV0002251,CUST000226,Wipro Telecom Limited,2025-03-19,2025-05-19,448879.27,2,224439.64,0,448879.27,Canceled,Sanjay Joshi,REP000047,,
PLAN000098,INV0002255,CUST000226,Wipro Telecom Limited,2025-03-23,2025-06-23,309499.37,3,103166.46,0,309499.37,Active,Rajesh Joshi,REP000049,2025-04-22,
PLAN000099,INV0002262,CUST000227,Mahindra Telecom Limited,2025-01-21,2025-05-21,1913712.50,4,478428.13,2,956856.24,Active,Geeta Mishra,REP000040,2025-04-21,2025-02-22
PLAN000100,INV0002282,CUST000229,Adani Telecom Limited,2025-01-21,2025-03-21,99968.24,2,49984.12,2,0.00,Completed,Rahul Mishra,REP000026,,2025-03-29
PLAN000101,INV0002314,CUST000232,L&T Telecom Limited,2024-12-06,2025-03-06,86965.73,3,28988.58,0,86965.73,Defaulted,Anita Gupta,REP000016,,
PLAN000103,INV0002453,CUST000246,Wipro Software Limited,2025-02-09,2025-04-09,70698.01,2,35349.00,2,0.01,Completed,Anita Mishra,REP000036,,2025-03-27
PLAN000104,INV0002456,CUST000246,Wipro Software Limited,2025-03-04,2025-05-04,74462.19,2,37231.10,1,37231.09,Active,Kavita Gupta,REP000018,2025-05-04,2025-03-24
PLAN000105,INV0002461,CUST000247,Mahindra Software Limited,2025-03-25,2025-05-25,292021.39,2,146010.70,0,292021.39,Active,Sanjay Gupta,REP000007,2025-04-24,
PLAN000106,INV0002495,CUST000250,JSW Software Limited,2025-01-05,2025-03-05,40328.88,2,20164.44,2,0.00,Completed,Vijay Joshi,REP000043,,2025-01-12
PLAN000107,INV0002505,CUST000251,Godrej Software Limited,2025-03-08,2025-05-08,280319.46,2,140159.73,1,140159.73,Active,Neha Mishra,REP000032,2025-05-08,2025-03-20
PLAN000108,INV0002522,CUST000253,ICICI Software Limited,2025-04-17,2025-07-17,57179.74,3,19059.91,0,57179.74,Active,Rakesh Mishra,REP000028,2025-05-17,
PLAN000109,INV0002556,CUST000256,Bajaj Software Limited,2025-03-09,2025-05-09,89603.36,2,44801.68,1,44801.68,Active,Anil Gupta,REP000005,2025-05-09,2025-04-03
PLAN000110,INV0002562,CUST000257,HCL Software Limited,2025-03-30,2025-09-30,2198913.22,6,366485.54,0,2198913.22,Active,Geeta Gupta,REP000020,2025-04-29,
PLAN000111,INV0002602,CUST000261,Tata Hardware Limited,2024-12-23,2025-03-23,106291.20,3,35430.40,3,-0.00,Completed,Geeta Mishra,REP000040,,2025-03-12
PLAN000113,INV0002753,CUST000276,Bajaj Hardware Limited,2025-03-10,2025-07-10,2048335.49,4,512083.87,1,1536251.62,Active,Rahul Mishra,REP000026,2025-05-10,2025-03-22
PLAN000114,INV0002766,CUST000277,HCL Hardware Limited,2025-04-11,2025-06-11,72235.78,2,36117.89,0,72235.78,Active,Meena Mishra,REP000037,2025-05-11,
PLAN000115,INV0002767,CUST000277,HCL Hardware Limited,2025-02-18,2025-05-18,113615.96,3,37871.99,1,75743.97,Active,Shalini Mishra,REP000039,2025-04-18,2025-03-30
PLAN000116,INV0002816,CUST000282,Reliance Food Limited,2025-03-12,2025-06-12,87085.89,3,29028.63,1,58057.26,Active,Rahul Joshi,REP000046,2025-05-12,2025-03-15
PLAN000117,INV0002824,CUST000283,Infosys Food Limited,2025-04-09,2025-07-09,97922.91,3,32640.97,0,97922.91,Active,Rani Gupta,REP000014,2025-05-09,
PLAN000118,INV0002861,CUST000287,Mahindra Food Limited,2025-02-23,2025-05-23,823950.91,3,274650.30,1,549300.61,Active,Rahul Joshi,REP000046,2025-04-23,2025-03-16
PLAN000119,INV0002862,CUST000287,Mahindra Food Limited,2025-01-20,2025-07-20,1333112.00,6,222185.33,1,1110926.67,Canceled,Sunita Mishra,REP000035,,2025-03-16
PLAN000120,INV0002881,CUST000289,Adani Food Limited,2025-04-17,2025-07-17,79832.40,3,26610.80,0,79832.40,Active,Priya Gupta,REP000011,2025-05-17,
PLAN000121,INV0002884,CUST000289,Adani Food Limited,2025-04-15,2025-06-15,87162.88,2,43581.44,0,87162.88,Active,Anil Mishra,REP000025,2025-05-15,
PLAN000122,INV0002924,CUST000293,ICICI Food Limited,2025-01-13,2025-04-13,416403.04,3,138801.01,3,0.01,Completed,Vijay Joshi,REP000043,,2025-03-18
PLAN000123,INV0002971,CUST000298,Hindustan Food Limited,2025-04-04,2025-07-04,53309.78,3,17769.93,0,53309.78,Active,Rakesh Mishra,REP000028,2025-05-04,
PLAN000124,INV0002986,CUST000299,Indian Food Limited,2024-11-07,2025-02-07,76693.34,3,25564.45,3,-0.01,Completed,Meena Mishra,REP000037,,2024-12-31
PLAN000125,INV0002994,CUST000300,Tech Food Limited,2025-02-11,2025-05-11,496560.62,3,165520.21,2,165520.20,Active,Geeta Gupta,REP000020,2025-05-11,2025-03-01
PLAN000126,INV0003016,CUST000302,Reliance Agro Limited,2025-02-14,2025-04-14,18370.36,2,9185.18,2,0.00,Completed,Rahul Mishra,REP000026,,2025-03-14
PLAN000127,INV0003022,CUST000303,Infosys Agro Limited,2025-02-18,2025-06-18,572625.86,4,143156.46,1,429469.40,Active,Ashok Joshi,REP000050,2025-04-19,2025-03-26
PLAN000128,INV0003053,CUST000306,Wipro Agro Limited,2025-03-03,2025-06-03,115859.14,3,38619.71,1,77239.43,Active,Amit Gupta,REP000002,2025-05-03,2025-03-25
PLAN000129,INV0003072,CUST000308,Birla Agro Limited,2024-12-07,2025-03-07,28341.00,3,9447.00,0,28341.00,Defaulted,Rahul Joshi,REP000046,,
PLAN000130,INV0003171,CUST000318,Hindustan Agro Limited,2025-02-11,2025-05-11,330903.21,3,110301.07,0,330903.21,Canceled,Rajesh Mishra,REP000029,,
PLAN000131,INV0003232,CUST000324,Bharti Resources Limited,2024-12-28,2025-02-28,111537.87,2,55768.93,2,0.01,Completed,Rakesh Mishra,REP000028,,2025-04-11
PLAN000132,INV0003263,CUST000327,Mahindra Resources Limited,2025-01-05,2025-03-05,13083.24,2,6541.62,0,13083.24,Defaulted,Kavita Gupta,REP000018,,
PLAN000133,INV0003371,CUST000338,Hindustan Resources Limited,2025-03-31,2025-07-01,480066.84,3,160022.28,0,480066.84,Active,Vijay Mishra,REP000023,2025-04-30,
PLAN000134,INV0003393,CUST000340,Tech Resources Limited,2025-02-08,2025-04-08,119836.13,2,59918.07,2,-0.01,Completed,Raj Mishra,REP000021,,2025-02-17
PLAN000135,INV0003407,CUST000341,Tata Chemicals Limited,2025-02-03,2025-06-03,563474.47,4,140868.62,0,563474.47,Canceled,Shalini Mishra,REP000039,,
PLAN000138,INV0003483,CUST000349,Adani Chemicals Limited,2025-03-03,2025-05-03,65494.60,2,32747.30,1,32747.30,Active,Ashok Mishra,REP000030,2025-05-03,2025-03-16
PLAN000139,INV0003517,CUST000352,L&T Chemicals Limited,2024-12-20,2025-05-20,565860.05,5,113172.01,3,226344.02,Active,Amit Mishra,REP000022,2025-04-19,2024-12-28
PLAN000140,INV0003521,CUST000353,ICICI Chemicals Limited,2025-01-04,2025-03-04,314377.40,2,157188.70,2,0.00,Completed,Raj Mishra,REP000021,,2025-03-19
PLAN000141,INV0003542,CUST000355,TCS Chemicals Limited,2025-03-28,2025-05-28,240374.14,2,120187.07,0,240374.14,Active,Sunil Gupta,REP000004,2025-04-27,
PLAN000142,INV0003553,CUST000356,Bajaj Chemicals Limited,2025-02-01,2025-04-01,60823.65,2,30411.83,2,-0.01,Completed,Amit Mishra,REP000022,,2025-02-26
PLAN000144,INV0003556,CUST000356,Bajaj Chemicals Limited,2025-03-05,2025-06-05,21696.81,3,7232.27,1,14464.54,Active,Pooja Mishra,REP000033,2025-05-05,2025-04-15
PLAN000145,INV0003574,CUST000358,Hindustan Chemicals Limited,2025-01-04,2025-03-04,99787.29,2,49893.64,2,0.01,Completed,Priya Gupta,REP000011,,2025-02-27
PLAN000146,INV0003614,CUST000362,Reliance Logistics Limited,2025-01-28,2025-06-28,1554396.74,5,310879.35,2,932638.04,Active,Rakesh Joshi,REP000048,2025-04-28,2025-03-13
PLAN000147,INV0003643,CUST000365,HDFC Logistics Limited,2025-03-10,2025-05-10,17257.79,2,8628.90,1,8628.89,Active,Anil Joshi,REP000045,2025-05-10,2025-03-25
PLAN000148,INV0003644,CUST000365,HDFC Logistics Limited,2025-01-09,2025-03-09,46114.85,2,23057.42,2,0.01,Completed,Sunita Gupta,REP000015,,2025-01-15
PLAN000149,INV0003765,CUST000377,HCL Logistics Limited,2024-12-20,2025-02-20,437030.46,2,218515.23,2,0.00,Completed,Rahul Joshi,REP000046,,2025-03-10
PLAN000150,INV0003795,CUST000380,Tech Logistics Limited,2025-04-13,2025-06-13,72955.66,2,36477.83,0,72955.66,Active,Geeta Mishra,REP000040,2025-05-13,
PLAN000151,INV0003895,CUST000390,JSW Infrastructure Limited,2024-12-26,2025-05-26,1570114.94,5,314022.99,3,628045.97,Active,Priya Mishra,REP000031,2025-04-25,2025-02-03
PLAN000152,INV0003903,CUST000391,Godrej Infrastructure Limited,2024-12-11,2025-03-11,117925.38,3,39308.46,3,0.00,Completed,Rahul Mishra,REP000026,,2025-03-13
PLAN000153,INV0003953,CUST000396,Bajaj Infrastructure Limited,2025-04-17,2025-06-17,403644.93,2,201822.46,0,403644.93,Active,Amit Mishra,REP000022,2025-05-17,
PLAN000154,INV0003965,CUST000397,HCL Infrastructure Limited,2025-02-05,2025-05-05,909547.72,3,303182.57,2,303182.58,Active,Amit Joshi,REP000042,2025-05-05,2025-04-15
PLAN000155,INV0003994,CUST000400,Tech Infrastructure Limited,2025-02-01,2025-07-01,775174.41,5,155034.88,2,465104.65,Active,Raj Mishra,REP000021,2025-05-02,2025-02-13
PLAN000157,INV0004073,CUST000408,Birla Tech Enterprises,2025-02-19,2025-05-19,469182.20,3,156394.07,0,469182.20,Canceled,Amit Mishra,REP000022,,
PLAN000158,INV0004076,CUST000408,Birla Tech Enterprises,2025-04-10,2025-06-10,493006.88,2,246503.44,0,493006.88,Active,Geeta Gupta,REP000020,2025-05-10,
PLAN000159,INV0004121,CUST000413,ICICI Tech Enterprises,2025-01-11,2025-04-11,14929.89,3,4976.63,3,0.00,Completed,Shalini Mishra,REP000039,,2025-03-10
PLAN000160,INV0004217,CUST000422,Reliance Info Enterprises,2025-01-09,2025-03-09,424322.98,2,212161.49,2,0.00,Completed,Vijay Gupta,REP000003,,2025-03-13
PLAN000161,INV0004377,CUST000438,Hindustan Info Enterprises,2025-04-17,2025-11-17,1862921.54,7,266131.65,0,1862921.54,Active,Rakesh Mishra,REP000028,2025-05-17,
PLAN000162,INV0004391,CUST000440,Tech Info Enterprises,2025-03-26,2025-06-26,300101.01,3,100033.67,0,300101.01,Active,Pooja Gupta,REP000013,2025-04-25,
PLAN000163,INV0004421,CUST000443,Infosys Auto Enterprises,2025-02-16,2025-05-16,456005.00,3,152001.67,2,152001.66,Active,Anil Mishra,REP000025,2025-05-16,2025-04-15
PLAN000164,INV0004434,CUST000444,Bharti Auto Enterprises,2025-01-13,2025-03-13,96750.38,2,48375.19,2,0.00,Completed,Raj Gupta,REP000001,,2025-02-23
PLAN000165,INV0004435,CUST000444,Bharti Auto Enterprises,2025-02-25,2025-05-25,104946.89,3,34982.30,1,69964.59,Active,Rakesh Gupta,REP000008,2025-04-25,2025-03-24
