line_item_id,invoice_id,product_code,product_description,quantity,unit_price,amount,tax_rate,tax_amount,total_amount
ITEM00000401,INV0000081,PROD-6655,Network Equipment,8,34363.69,34363.69,28%,9621.83,43985.52
ITEM00000402,INV0000081,PROD-1246,Hardware Appliance,10,6374.67,31873.35,28%,8924.54,40797.89
ITEM00000406,INV0000082,PROD-4102,Network Equipment,4,9075.11,18150.22,5%,907.51,19057.73
ITEM00000411,INV0000083,PROD-2628,Security Solution,7,13528.86,67644.28,5%,3382.21,71026.49
ITEM00000412,INV0000083,PROD-7392,Security Solution,5,716.72,6450.45,5%,322.52,6772.97
ITEM00000413,INV0000083,PROD-6550,Hardware Appliance,1,828.70,5800.92,5%,290.05,6090.97
ITEM00000414,INV0000083,PROD-9367,Consulting Services,2,919.01,8271.10,5%,413.56,8684.66
ITEM00000415,INV0000083,PROD-8420,Consulting Services,7,2294.06,11470.29,5%,573.51,12043.80
ITEM00000416,INV0000084,PROD-7019,Software License,6,4285.66,34285.29,28%,9599.88,43885.17
ITEM00000417,INV0000084,PROD-1515,Implementation Services,3,13439.04,53756.15,28%,15051.72,68807.87
ITEM00000421,INV0000085,PROD-6351,Software License,6,6128.21,6128.21,12%,735.39,6863.60
ITEM00000422,INV0000085,PROD-4598,Consulting Services,3,3145.47,6290.94,12%,754.91,7045.85
ITEM00000426,INV0000086,PROD-5340,Network Equipment,3,1856.52,9282.59,18%,1670.87,10953.46
ITEM00000427,INV0000086,PROD-3446,Maintenance Agreement,6,2003.43,20034.34,18%,3606.18,23640.52
ITEM00000428,INV0000086,PROD-9070,Hardware Appliance,5,8164.05,16328.10,18%,2939.06,19267.16
ITEM00000429,INV0000086,PROD-4080,Support Contract,6,1351.51,13515.14,18%,2432.73,15947.87
ITEM00000431,INV0000087,PROD-4057,Consulting Services,3,5222.19,36555.32,5%,1827.77,38383.09
ITEM00000432,INV0000087,PROD-3438,Support Contract,8,1733.02,5199.06,5%,259.95,5459.01
ITEM00000433,INV0000087,PROD-6666,Support Contract,6,3068.73,9206.20,5%,460.31,9666.51
ITEM00000434,INV0000087,PROD-7686,Maintenance Agreement,2,4023.13,28161.89,5%,1408.09,29569.98
ITEM00000451,INV0000091,PROD-3563,Cloud Subscription,1,192839.47,192839.47,18%,34711.10,227550.57
ITEM00000452,INV0000091,PROD-2507,Cloud Subscription,8,7290.97,36454.86,18%,6561.87,43016.73
ITEM00000453,INV0000091,PROD-7211,Network Equipment,7,9432.27,94322.69,18%,16978.08,111300.77
ITEM00000454,INV0000091,PROD-6023,Support Contract,5,2823.77,28237.65,18%,5082.78,33320.43
ITEM00000455,INV0000091,PROD-9676,Software License,2,1535.15,15351.49,18%,2763.27,18114.76
ITEM00000456,INV0000092,PROD-4434,Hardware Appliance,8,21253.09,42506.18,18%,7651.11,50157.29
ITEM00000457,INV0000092,PROD-9620,Security Solution,1,11347.81,56739.03,18%,10213.03,66952.06
ITEM00000461,INV0000093,PROD-9905,Hardware Appliance,7,16747.24,117230.67,18%,21101.52,138332.19
ITEM00000462,INV0000093,PROD-6411,Consulting Services,7,10873.10,21746.21,18%,3914.32,25660.53
ITEM00000463,INV0000093,PROD-4741,Network Equipment,2,10742.60,64455.58,18%,11602.00,76057.58
ITEM00000466,INV0000094,PROD-7140,Implementation Services,2,5725.33,40077.34,12%,4809.28,44886.62
ITEM00000467,INV0000094,PROD-3909,Training Package,9,50975.57,101951.15,12%,12234.14,114185.29
ITEM00000471,INV0000095,PROD-7323,Training Package,10,18376.37,128634.57,5%,6431.73,135066.30
ITEM00000472,INV0000095,PROD-3472,Support Contract,8,12023.77,24047.54,5%,1202.38,25249.92
ITEM00000473,INV0000095,PROD-8356,Support Contract,4,8825.66,35302.65,5%,1765.13,37067.78
ITEM00000474,INV0000095,PROD-7836,Support Contract,2,16758.87,33517.73,5%,1675.89,35193.62
ITEM00000476,INV0000096,PROD-4828,Cloud Subscription,7,97637.13,97637.13,18%,17574.68,115211.81
ITEM00000477,INV0000096,PROD-4598,Maintenance Agreement,7,1754.08,10524.45,18%,1894.40,12418.85
ITEM00000478,INV0000096,PROD-7327,Hardware Appliance,9,6831.24,20493.71,18%,3688.87,24182.58
ITEM00000479,INV0000096,PROD-4663,Cloud Subscription,10,2174.99,17399.93,18%,3131.99,20531.92
ITEM00000480,INV0000096,PROD-1097,Training Package,6,751.58,7515.80,18%,1352.84,8868.64
ITEM00000481,INV0000097,PROD-6972,Network Equipment,4,36095.39,180476.95,18%,32485.85,212962.80
ITEM00000482,INV0000097,PROD-8632,Support Contract,10,46115.97,92231.94,18%,16601.75,108833.69
ITEM00000486,INV0000098,PROD-4750,Training Package,8,32851.52,164257.59,12%,19710.91,183968.50
ITEM00000501,INV0000101,PROD-1296,Network Equipment,9,31832.56,95497.67,12%,11459.72,106957.39
ITEM00000506,INV0000102,PROD-2997,Hardware Appliance,9,2728.65,13643.26,5%,682.16,14325.42
ITEM00000507,INV0000102,PROD-9008,Cloud Subscription,9,11217.35,56086.73,5%,2804.34,58891.07
ITEM00000508,INV0000102,PROD-2716,Maintenance Agreement,7,14411.40,57645.61,5%,2882.28,60527.89
ITEM00000511,INV0000103,PROD-4123,Network Equipment,9,27422.82,82268.47,18%,14808.32,97076.79
ITEM00000512,INV0000103,PROD-9858,Cloud Subscription,2,22378.69,89514.76,18%,16112.66,105627.42
ITEM00000513,INV0000103,PROD-7131,Security Solution,9,20552.24,205522.36,18%,36994.02,242516.38
ITEM00000516,INV0000104,PROD-3491,Hardware Appliance,4,8210.16,49260.97,18%,8866.97,58127.94
ITEM00000517,INV0000104,PROD-9292,Consulting Services,1,2829.82,19808.77,18%,3565.58,23374.35
ITEM00000518,INV0000104,PROD-2283,Network Equipment,7,2993.69,20955.80,18%,3772.04,24727.84
ITEM00000519,INV0000104,PROD-1878,Security Solution,3,6629.93,19889.79,18%,3580.16,23469.95
ITEM00000521,INV0000105,PROD-7947,Network Equipment,1,13431.33,134313.31,18%,24176.40,158489.71
ITEM00000522,INV0000105,PROD-6310,Software License,3,61321.35,122642.70,18%,22075.69,144718.39
ITEM00000523,INV0000105,PROD-9199,Software License,4,5884.97,58849.70,18%,10592.95,69442.65
ITEM00000524,INV0000105,PROD-8559,Training Package,4,4015.45,32123.57,18%,5782.24,37905.81
ITEM00000525,INV0000105,PROD-6925,Training Package,9,14544.48,130900.32,18%,23562.06,154462.38
ITEM00000551,INV0000111,PROD-1463,Hardware Appliance,1,2015.07,20150.65,12%,2418.08,22568.73
ITEM00000552,INV0000111,PROD-4524,Software License,4,5413.26,21653.05,12%,2598.37,24251.42
ITEM00000556,INV0000112,PROD-7862,Training Package,9,1514.79,15147.85,12%,1817.74,16965.59
ITEM00000557,INV0000112,PROD-1390,Security Solution,8,4597.48,13792.44,12%,1655.09,15447.53
ITEM00000558,INV0000112,PROD-5261,Training Package,10,554.54,3881.75,12%,465.81,4347.56
ITEM00000559,INV0000112,PROD-5594,Implementation Services,3,1686.31,15176.78,12%,1821.21,16997.99
ITEM00000561,INV0000113,PROD-8733,Software License,7,5661.65,22646.58,5%,1132.33,23778.91
ITEM00000562,INV0000113,PROD-6175,Maintenance Agreement,5,6851.99,68519.85,5%,3425.99,71945.84
ITEM00000566,INV0000114,PROD-8969,Training Package,1,26602.13,26602.13,12%,3192.26,29794.39
ITEM00000567,INV0000114,PROD-4299,Network Equipment,1,10229.47,30688.41,12%,3682.61,34371.02
ITEM00000568,INV0000114,PROD-4560,Implementation Services,6,2605.19,13025.97,12%,1563.12,14589.09
ITEM00000569,INV0000114,PROD-6452,Security Solution,5,1487.74,4463.23,12%,535.59,4998.82
ITEM00000570,INV0000114,PROD-7934,Training Package,1,1190.91,7145.48,12%,857.46,8002.94
ITEM00000571,INV0000115,PROD-7810,Implementation Services,4,1101.45,7710.13,12%,925.22,8635.35
ITEM00000572,INV0000115,PROD-8158,Maintenance Agreement,7,3599.52,14398.09,12%,1727.77,16125.86
ITEM00000573,INV0000115,PROD-2658,Training Package,4,4755.28,14265.85,12%,1711.90,15977.75
ITEM00000576,INV0000116,PROD-7037,Network Equipment,2,3065.26,6130.51,12%,735.66,6866.17
ITEM00000577,INV0000116,PROD-6724,Security Solution,1,29156.38,29156.38,12%,3498.77,32655.15
ITEM00000578,INV0000116,PROD-7783,Maintenance Agreement,8,414.16,3313.25,12%,397.59,3710.84
ITEM00000579,INV0000116,PROD-9268,Software License,2,317.16,2220.09,12%,266.41,2486.50
ITEM00000580,INV0000116,PROD-2746,Training Package,9,1744.22,15697.95,12%,1883.75,17581.70
ITEM00000581,INV0000117,PROD-8385,Hardware Appliance,3,18084.62,36169.24,12%,4340.31,40509.55
ITEM00000582,INV0000117,PROD-8263,Hardware Appliance,8,3120.49,12481.94,12%,1497.83,13979.77
ITEM00000583,INV0000117,PROD-6849,Hardware Appliance,1,721.74,4330.41,12%,519.65,4850.06
ITEM00000584,INV0000117,PROD-2064,Network Equipment,10,898.16,898.16,12%,107.78,1005.94
ITEM00000585,INV0000117,PROD-4339,Security Solution,8,461.19,3228.33,12%,387.40,3615.73
ITEM00000586,INV0000118,PROD-8230,Maintenance Agreement,4,7144.44,57155.49,18%,10287.99,67443.48
ITEM00000587,INV0000118,PROD-9502,Software License,5,2958.51,5917.03,18%,1065.07,6982.10
ITEM00000588,INV0000118,PROD-2434,Cloud Subscription,3,2178.12,21781.24,18%,3920.62,25701.86
ITEM00000601,INV0000121,PROD-9846,Consulting Services,7,4851.31,29107.85,12%,3492.94,32600.79
ITEM00000602,INV0000121,PROD-8190,Implementation Services,3,32871.20,98613.61,12%,11833.63,110447.24
ITEM00000603,INV0000121,PROD-2483,Support Contract,9,7714.54,46287.26,12%,5554.47,51841.73
ITEM00000604,INV0000121,PROD-1596,Hardware Appliance,4,3117.67,9353.02,12%,1122.36,10475.38
ITEM00000605,INV0000121,PROD-6882,Implementation Services,5,8389.95,25169.85,12%,3020.38,28190.23
ITEM00000606,INV0000122,PROD-1144,Network Equipment,7,127297.99,127297.99,18%,22913.64,150211.63
ITEM00000607,INV0000122,PROD-5434,Hardware Appliance,8,9687.90,48439.48,18%,8719.11,57158.59
ITEM00000608,INV0000122,PROD-5555,Network Equipment,6,5962.33,53660.98,18%,9658.98,63319.96
ITEM00000611,INV0000123,PROD-1431,Software License,3,142554.29,285108.58,5%,14255.43,299364.01
ITEM00000616,INV0000124,PROD-7710,Software License,8,13735.27,68676.35,18%,12361.74,81038.09
ITEM00000621,INV0000125,PROD-3760,Consulting Services,7,20503.25,61509.76,5%,3075.49,64585.25
ITEM00000622,INV0000125,PROD-4383,Consulting Services,4,9390.71,84516.38,5%,4225.82,88742.20
ITEM00000623,INV0000125,PROD-6314,Training Package,3,6262.91,37577.47,5%,1878.87,39456.34
ITEM00000624,INV0000125,PROD-1001,Security Solution,3,9617.41,9617.41,5%,480.87,10098.28
ITEM00000625,INV0000125,PROD-3133,Maintenance Agreement,10,6439.92,38639.52,5%,1931.98,40571.50
ITEM00000626,INV0000126,PROD-9087,Network Equipment,9,12906.33,38718.98,12%,4646.28,43365.26
ITEM00000627,INV0000126,PROD-6423,Hardware Appliance,1,68685.63,68685.63,12%,8242.28,76927.91
ITEM00000628,INV0000126,PROD-3053,Network Equipment,7,57702.46,115404.93,12%,13848.59,129253.52
ITEM00000651,INV0000131,PROD-8952,Hardware Appliance,9,11938.65,47754.60,18%,8595.83,56350.43
ITEM00000652,INV0000131,PROD-4171,Hardware Appliance,9,1040.09,10400.92,18%,1872.17,12273.09
ITEM00000653,INV0000131,PROD-5850,Cloud Subscription,3,3547.07,7094.14,18%,1276.95,8371.09
ITEM00000654,INV0000131,PROD-8600,Network Equipment,1,1095.93,3287.80,18%,591.80,3879.60
ITEM00000656,INV0000132,PROD-6721,Support Contract,7,139418.55,418255.65,12%,50190.68,468446.33
ITEM00000661,INV0000133,PROD-7874,Hardware Appliance,4,37525.45,75050.90,28%,21014.25,96065.15
ITEM00000662,INV0000133,PROD-8168,Software License,3,3178.82,12715.27,28%,3560.28,16275.55
ITEM00000663,INV0000133,PROD-6107,Hardware Appliance,6,5924.29,29621.43,28%,8294.00,37915.43
ITEM00000666,INV0000134,PROD-9363,Network Equipment,5,25022.73,200181.82,12%,24021.82,224203.64
ITEM00000667,INV0000134,PROD-5339,Network Equipment,2,33960.69,271685.50,12%,32602.26,304287.76
ITEM00000671,INV0000135,PROD-9011,Implementation Services,4,54039.37,324236.23,28%,90786.14,415022.37
ITEM00000672,INV0000135,PROD-2614,Implementation Services,5,8493.26,76439.31,28%,21403.01,97842.32
ITEM00000673,INV0000135,PROD-5564,Maintenance Agreement,4,6455.15,45186.06,28%,12652.10,57838.16
ITEM00000674,INV0000135,PROD-7380,Software License,4,7374.54,36872.70,28%,10324.36,47197.06
ITEM00000676,INV0000136,PROD-4580,Support Contract,8,348697.66,348697.66,12%,41843.72,390541.38
ITEM00000701,INV0000141,PROD-4778,Maintenance Agreement,7,2135.82,14950.71,28%,4186.20,19136.91
ITEM00000702,INV0000141,PROD-1130,Hardware Appliance,10,1754.03,7016.12,28%,1964.51,8980.63
ITEM00000703,INV0000141,PROD-9108,Hardware Appliance,9,2156.31,10781.54,28%,3018.83,13800.37
ITEM00000706,INV0000142,PROD-5848,Support Contract,5,31222.67,31222.67,12%,3746.72,34969.39
ITEM00000707,INV0000142,PROD-9973,Network Equipment,10,14406.71,57626.84,12%,6915.22,64542.06
ITEM00000711,INV0000143,PROD-4679,Consulting Services,6,2764.43,22115.41,5%,1105.77,23221.18
ITEM00000716,INV0000144,PROD-3425,Implementation Services,3,5650.25,39551.75,18%,7119.31,46671.06
ITEM00000717,INV0000144,PROD-4263,Network Equipment,10,5767.97,34607.79,18%,6229.40,40837.19
ITEM00000751,INV0000151,PROD-8082,Training Package,5,21908.31,87633.26,5%,4381.66,92014.92
ITEM00000752,INV0000151,PROD-3458,Support Contract,4,34901.77,314115.94,5%,15705.80,329821.74
ITEM00000756,INV0000152,PROD-5098,Cloud Subscription,4,93304.42,373217.68,12%,44786.12,418003.80
ITEM00000761,INV0000153,PROD-6371,Support Contract,1,47539.10,380312.78,28%,106487.58,486800.36
ITEM00000766,INV0000154,PROD-8888,Network Equipment,5,5692.43,34154.60,12%,4098.55,38253.15
ITEM00000767,INV0000154,PROD-6653,Security Solution,6,9391.14,56346.82,12%,6761.62,63108.44
ITEM00000768,INV0000154,PROD-1364,Implementation Services,6,5443.08,16329.24,12%,1959.51,18288.75
ITEM00000769,INV0000154,PROD-8284,Hardware Appliance,2,4445.49,13336.48,12%,1600.38,14936.86
ITEM00000770,INV0000154,PROD-6933,Network Equipment,5,24399.49,24399.49,12%,2927.94,27327.43
ITEM00000801,INV0000161,PROD-9978,Hardware Appliance,8,1065.58,8524.64,28%,2386.90,10911.54
ITEM00000802,INV0000161,PROD-3849,Training Package,3,8351.33,25053.99,28%,7015.12,32069.11
ITEM00000806,INV0000162,PROD-9509,Consulting Services,6,2149.69,19347.21,12%,2321.67,21668.88
ITEM00000807,INV0000162,PROD-7032,Cloud Subscription,9,13428.56,13428.56,12%,1611.43,15039.99
ITEM00000811,INV0000163,PROD-5504,Maintenance Agreement,4,8770.82,87708.23,18%,15787.48,103495.71
ITEM00000851,INV0000171,PROD-6106,Implementation Services,5,7362.56,51537.95,18%,9276.83,60814.78
ITEM00000852,INV0000171,PROD-2004,Implementation Services,10,44326.91,265961.44,18%,47873.06,313834.50
ITEM00000853,INV0000171,PROD-3637,Security Solution,4,47467.21,94934.42,18%,17088.20,112022.62
ITEM00000854,INV0000171,PROD-5957,Security Solution,7,20800.60,83202.39,18%,14976.43,98178.82
ITEM00000856,INV0000172,PROD-7266,Security Solution,8,7646.97,53528.79,5%,2676.44,56205.23
ITEM00000857,INV0000172,PROD-5244,Training Package,7,24669.30,74007.90,5%,3700.39,77708.29
ITEM00000858,INV0000172,PROD-9774,Security Solution,3,2003.83,16030.60,5%,801.53,16832.13
ITEM00000859,INV0000172,PROD-8230,Consulting Services,3,12043.90,120438.99,5%,6021.95,126460.94
ITEM00000861,INV0000173,PROD-2034,Network Equipment,4,37770.50,226623.02,12%,27194.76,253817.78
ITEM00000862,INV0000173,PROD-1619,Cloud Subscription,1,37328.34,111985.02,12%,13438.20,125423.22
